dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000000,1.075000,-0.000029,-0.005882,-0.588235,-58.823529,0.000000
0.010000,-0.000000,1.075000,-0.000029,-0.000000,0.588235,117.647059,0.000000
0.010000,-0.000212,1.075000,-0.000241,-0.021176,-2.117647,-270.588235,0.000000
0.010000,-0.000682,1.075000,-0.000712,-0.047059,-2.588235,-47.058824,0.000000
0.010000,-0.001418,1.075000,-0.001447,-0.073529,-2.647059,-5.882353,0.000000
0.010000,-0.002476,1.075000,-0.002506,-0.105882,-3.235294,-58.823529,0.000000
0.010000,-0.003918,1.075000,-0.003947,-0.144118,-3.823529,-58.823529,0.000000
0.010000,-0.005800,1.075000,-0.005829,-0.188235,-4.411765,-58.823529,0.000000
0.010000,-0.008182,1.075000,-0.008212,-0.238235,-5.000000,-58.823529,0.000000
0.010000,-0.011124,1.075000,-0.011153,-0.294118,-5.588235,-58.823529,0.000000
0.010000,-0.014682,1.075000,-0.014712,-0.355882,-6.176471,-58.823529,0.000000
0.010000,-0.018918,1.075000,-0.018947,-0.423529,-6.764706,-58.823529,0.000000
0.010000,-0.023888,1.075000,-0.023918,-0.497059,-7.352941,-58.823529,0.000000
0.010000,-0.029653,1.075000,-0.029682,-0.576471,-7.941176,-58.823529,0.000000
0.010000,-0.036271,1.075000,-0.036300,-0.661765,-8.529412,-58.823529,0.000000
0.010000,-0.043800,1.075000,-0.043829,-0.752941,-9.117647,-58.823529,0.000000
0.010000,-0.052300,1.075000,-0.052329,-0.850000,-9.705882,-58.823529,0.000000
0.010000,-0.061800,1.075000,-0.061829,-0.950000,-10.000000,-29.411765,0.000000
0.010000,-0.072300,1.075000,-0.072329,-1.050000,-10.000000,-0.000000,0.000000
0.010000,-0.083800,1.075000,-0.083829,-1.150000,-10.000000,-0.000000,0.000000
0.010000,-0.096300,1.075000,-0.096329,-1.250000,-10.000000,-0.000000,0.000000
0.010000,-0.109800,1.075000,-0.109829,-1.350000,-10.000000,0.000000,0.000000
0.010000,-0.124300,1.075000,-0.124329,-1.450000,-10.000000,0.000000,0.000000
0.010000,-0.139800,1.075000,-0.139829,-1.550000,-10.000000,-0.000000,0.000000
0.010000,-0.156300,1.075000,-0.156329,-1.650000,-10.000000,0.000000,0.000000
0.010000,-0.173800,1.075000,-0.173829,-1.750000,-10.000000,-0.000000,0.000000
0.010000,-0.192300,1.075000,-0.192329,-1.850000,-10.000000,0.000000,0.000000
0.010000,-0.211800,1.075000,-0.211829,-1.950000,-10.000000,-0.000000,0.000000
0.010000,-0.232300,1.075000,-0.232329,-2.050000,-10.000000,0.000000,0.000000
0.010000,-0.253800,1.075000,-0.253829,-2.150000,-10.000000,0.000000,0.000000
0.010000,-0.276300,1.075000,-0.276329,-2.250000,-10.000000,-0.000000,0.000000
0.010000,-0.299800,1.075000,-0.299829,-2.350000,-10.000000,0.000000,0.000000
0.010000,-0.324300,1.075000,-0.324329,-2.450000,-10.000000,-0.000000,0.000000
0.010000,-0.349800,1.075000,-0.349829,-2.550000,-10.000000,-0.000000,0.000000
0.010000,-0.376300,1.075000,-0.376329,-2.650000,-10.000000,0.000000,0.000000
0.010000,-0.403800,1.075000,-0.403829,-2.750000,-10.000000,-0.000000,0.000000
0.010000,-0.432300,1.075000,-0.432329,-2.850000,-10.000000,-0.000000,0.000000
0.010000,-0.461800,1.075000,-0.461829,-2.950000,-10.000000,0.000000,0.000000
0.010000,-0.492300,1.075000,-0.492329,-3.050000,-10.000000,-0.000000,0.000000
0.010000,-0.523800,1.075000,-0.523829,-3.150000,-10.000000,0.000000,0.000000
0.010000,-0.556300,1.075000,-0.556329,-3.250000,-10.000000,-0.000000,0.000000
0.010000,-0.589800,1.075000,-0.589829,-3.350000,-10.000000,-0.000000,0.000000
0.010000,-0.624300,1.075000,-0.624329,-3.450000,-10.000000,-0.000000,0.000000
0.010000,-0.659800,1.075000,-0.659829,-3.550000,-10.000000,0.000000,0.000000
0.010000,-0.696300,1.075000,-0.696329,-3.650000,-10.000000,-0.000000,0.000000
0.010000,-0.733800,1.075000,-0.733829,-3.750000,-10.000000,-0.000000,0.000000
0.010000,-0.772300,1.075000,-0.772329,-3.850000,-10.000000,0.000000,0.000000
0.010000,-0.811800,1.075000,-0.811829,-3.950000,-10.000000,-0.000000,0.000000
0.010000,-0.852300,1.075000,-0.852329,-4.050000,-10.000000,-0.000000,0.000000
0.010000,-0.893800,1.075000,-0.893829,-4.150000,-10.000000,-0.000000,0.000000
0.010000,-0.936271,1.075000,-0.936300,-4.247059,-9.705882,29.411765,0.000000
0.010000,-0.979653,1.075000,-0.979682,-4.338235,-9.117647,58.823529,0.000000
0.010000,-1.023888,1.075000,-1.023918,-4.423529,-8.529412,58.823529,0.000000
0.010000,-1.068918,1.075000,-1.068947,-4.502941,-7.941176,58.823529,0.000000
0.010000,-1.114682,1.075000,-1.114712,-4.576471,-7.352941,58.823529,0.000000
0.010000,-1.161124,1.075000,-1.161153,-4.644118,-6.764706,58.823529,0.000000
0.010000,-1.208182,1.075000,-1.208212,-4.705882,-6.176471,58.823529,0.000000
0.010000,-1.255800,1.075000,-1.255829,-4.761765,-5.588235,58.823529,0.000000
0.010000,-1.303918,1.075000,-1.303947,-4.811765,-5.000000,58.823529,0.000000
