dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000000,-1.075000,0.000029,0.005820,0.581997,58.199738,0.000000
0.010000,0.000045,-1.075000,0.000075,0.004550,-0.127004,-70.900131,0.000000
0.010000,0.000307,-1.075000,0.000336,0.026190,2.163995,229.099869,0.000000
0.010000,0.000773,-1.075000,0.000802,0.046560,2.036991,-12.700392,0.000000
0.010000,0.001500,-1.075000,0.001530,0.072750,2.618988,58.199738,0.000000
0.010000,0.002548,-1.075000,0.002577,0.104760,3.200986,58.199738,0.000000
0.010000,0.003974,-1.075000,0.004003,0.142589,3.782983,58.199738,0.000000
0.010000,0.005836,-1.075000,0.005865,0.186239,4.364980,58.199738,0.000000
0.010000,0.008193,-1.075000,0.008223,0.235709,4.946978,58.199738,0.000000
0.010000,0.011103,-1.075000,0.011133,0.290999,5.528975,58.199738,0.000000
0.010000,0.014625,-1.075000,0.014654,0.352108,6.110973,58.199738,0.000000
0.010000,0.018815,-1.075000,0.018844,0.419038,6.692970,58.199738,0.000000
0.010000,0.023733,-1.075000,0.023762,0.491788,7.274967,58.199738,0.000000
0.010000,0.029436,-1.075000,0.029465,0.570357,7.856965,58.199738,0.000000
0.010000,0.035984,-1.075000,0.036013,0.654747,8.438962,58.199738,0.000000
0.010000,0.043433,-1.075000,0.043463,0.744957,9.020959,58.199738,0.000000
0.010000,0.051843,-1.075000,0.051872,0.840986,9.602957,58.199738,0.000000
0.010000,0.061243,-1.075000,0.061272,0.939926,9.893956,29.099869,0.000000
0.010000,0.071631,-1.075000,0.071660,1.038865,9.893956,0.000000,0.000000
0.010000,0.083009,-1.075000,0.083038,1.137805,9.893956,-0.000000,0.000000
0.010000,0.095377,-1.075000,0.095406,1.236744,9.893956,0.000000,0.000000
0.010000,0.108734,-1.075000,0.108763,1.335684,9.893956,0.000000,0.000000
0.010000,0.123080,-1.075000,0.123109,1.434624,9.893956,-0.000000,0.000000
0.010000,0.138415,-1.075000,0.138444,1.533563,9.893956,0.000000,0.000000
0.010000,0.154740,-1.075000,0.154770,1.632503,9.893956,0.000000,0.000000
0.010000,0.172055,-1.075000,0.172084,1.731442,9.893956,-0.000000,0.000000
0.010000,0.190359,-1.075000,0.190388,1.830382,9.893956,0.000000,0.000000
0.010000,0.209652,-1.075000,0.209681,1.929321,9.893956,-0.000000,0.000000
0.010000,0.229934,-1.075000,0.229964,2.028261,9.893956,0.000000,0.000000
0.010000,0.251206,-1.075000,0.251236,2.127200,9.893956,-0.000000,0.000000
0.010000,0.273468,-1.075000,0.273497,2.226140,9.893956,0.000000,0.000000
0.010000,0.296719,-1.075000,0.296748,2.325080,9.893956,0.000000,0.000000
0.010000,0.320959,-1.075000,0.320988,2.424019,9.893956,-0.000000,0.000000
0.010000,0.346188,-1.075000,0.346218,2.522959,9.893956,-0.000000,0.000000
0.010000,0.372407,-1.075000,0.372437,2.621898,9.893956,0.000000,0.000000
0.010000,0.399616,-1.075000,0.399645,2.720838,9.893956,0.000000,0.000000
0.010000,0.427814,-1.075000,0.427843,2.819777,9.893956,0.000000,0.000000
0.010000,0.457001,-1.075000,0.457030,2.918717,9.893956,-0.000000,0.000000
0.010000,0.487177,-1.075000,0.487206,3.017656,9.893956,-0.000000,0.000000
0.010000,0.518343,-1.075000,0.518372,3.116596,9.893956,0.000000,0.000000
0.010000,0.550499,-1.075000,0.550528,3.215536,9.893956,0.000000,0.000000
0.010000,0.583643,-1.075000,0.583672,3.314475,9.893956,-0.000000,0.000000
0.010000,0.617778,-1.075000,0.617807,3.413415,9.893956,0.000000,0.000000
0.010000,0.652901,-1.075000,0.652930,3.512354,9.893956,0.000000,0.000000
0.010000,0.689014,-1.075000,0.689043,3.611294,9.893956,-0.000000,0.000000
0.010000,0.726116,-1.075000,0.726145,3.710233,9.893956,-0.000000,0.000000
0.010000,0.764208,-1.075000,0.764237,3.809173,9.893956,0.000000,0.000000
0.010000,0.803289,-1.075000,0.803318,3.908112,9.893956,0.000000,0.000000
0.010000,0.843360,-1.075000,0.843389,4.007052,9.893956,-0.000000,0.000000
0.010000,0.884420,-1.075000,0.884449,4.105992,9.893956,0.000000,0.000000
0.010000,0.926469,-1.075000,0.926498,4.204931,9.893956,-0.000000,0.000000
0.010000,0.969508,-1.075000,0.969537,4.303871,9.893956,0.000000,0.000000
0.010000,1.013536,-1.075000,1.013565,4.402810,9.893956,-0.000000,0.000000
0.010000,1.058553,-1.075000,1.058582,4.501750,9.893956,0.000000,0.000000
0.010000,1.104560,-1.075000,1.104589,4.600689,9.893956,-0.000000,0.000000
0.010000,1.151556,-1.075000,1.151586,4.699629,9.893956,-0.000000,0.000000
0.010000,1.199542,-1.075000,1.199571,4.798568,9.893956,0.000000,0.000000
0.010000,1.248517,-1.075000,1.248546,4.897508,9.893956,0.000000,0.000000
0.010000,1.298482,-1.075000,1.298511,4.996448,9.893956,-0.000000,0.000000
0.010000,1.349436,-1.075000,1.349465,5.095387,9.893956,0.000000,0.000000
0.010000,1.401379,-1.075000,1.401408,5.194327,9.893956,0.000000,0.000000
0.010000,1.454311,-1.075000,1.454341,5.293266,9.893956,0.000000,0.000000
0.010000,1.508234,-1.075000,1.508263,5.392206,9.893956,-0.000000,0.000000
0.010000,1.563145,-1.075000,1.563174,5.491145,9.893956,0.000000,0.000000
0.010000,1.619046,-1.075000,1.619075,5.590085,9.893956,-0.000000,0.000000
0.010000,1.675936,-1.075000,1.675965,5.689024,9.893956,0.000000,0.000000
0.010000,1.733816,-1.075000,1.733845,5.787964,9.893956,-0.000000,0.000000
0.010000,1.792685,-1.075000,1.792714,5.886904,9.893956,0.000000,0.000000
0.010000,1.852543,-1.075000,1.852572,5.985843,9.893956,-0.000000,0.000000
0.010000,1.913391,-1.075000,1.913420,6.084783,9.893956,0.000000,0.000000
0.010000,1.975228,-1.075000,1.975257,6.183722,9.893956,0.000000,0.000000
0.010000,2.038055,-1.075000,2.038084,6.282662,9.893956,0.000000,0.000000
0.010000,2.101871,-1.075000,2.101900,6.381601,9.893956,-0.000000,0.000000
0.010000,2.166676,-1.075000,2.166705,6.480541,9.893956,0.000000,0.000000
0.010000,2.232471,-1.075000,2.232500,6.579480,9.893956,0.000000,0.000000
0.010000,2.299255,-1.075000,2.299284,6.678420,9.893956,-0.000000,0.000000
0.010000,2.367029,-1.075000,2.367058,6.777360,9.893956,0.000000,0.000000
0.010000,2.435792,-1.075000,2.435821,6.876299,9.893956,-0.000000,0.000000
0.010000,2.505544,-1.075000,2.505573,6.975239,9.893956,0.000000,0.000000
0.010000,2.576286,-1.075000,2.576315,7.074178,9.893956,0.000000,0.000000
0.010000,2.648017,-1.075000,2.648046,7.173118,9.893956,-0.000000,0.000000
0.010000,2.720738,-1.075000,2.720767,7.272057,9.893956,0.000000,0.000000
0.010000,2.794448,-1.075000,2.794477,7.370997,9.893956,0.000000,0.000000
0.010000,2.869147,-1.075000,2.869176,7.469936,9.893956,-0.000000,0.000000
0.010000,2.944836,-1.075000,2.944865,7.568876,9.893956,-0.000000,0.000000
0.010000,3.021514,-1.075000,3.021543,7.667816,9.893956,0.000000,0.000000
0.010000,3.099182,-1.075000,3.099211,7.766755,9.893956,0.000000,0.000000
0.010000,3.177839,-1.075000,3.177868,7.865695,9.893956,0.000000,0.000000
0.010000,3.257485,-1.075000,3.257514,7.964634,9.893956,-0.000000,0.000000
0.010000,3.338121,-1.075000,3.338150,8.063574,9.893956,0.000000,0.000000
0.010000,3.419746,-1.075000,3.419775,8.162513,9.893956,0.000000,0.000000
0.010000,3.502360,-1.075000,3.502389,8.261453,9.893956,-0.000000,0.000000
0.010000,3.585964,-1.075000,3.585993,8.360392,9.893956,0.000000,0.000000
0.010000,3.670528,-1.075000,3.670558,8.456422,9.602957,-29.099869,0.000000
0.010000,3.755995,-1.075000,3.756024,8.546632,9.020959,-58.199738,0.000000
0.010000,3.842305,-1.075000,3.842334,8.631021,8.438962,-58.199738,0.000000
0.010000,3.929401,-1.075000,3.929430,8.709591,7.856965,-58.199738,0.000000
0.010000,4.017224,-1.075000,4.017253,8.782341,7.274967,-58.199738,0.000000
0.010000,4.105717,-1.075000,4.105746,8.849270,6.692970,-58.199738,0.000000
0.010000,4.194821,-1.075000,4.194850,8.910380,6.110973,-58.199738,0.000000
0.010000,4.284477,-1.075000,4.284507,8.965670,5.528975,-58.199738,0.000000
0.010000,4.374629,-1.075000,4.374658,9.015139,4.946978,-58.199738,0.000000
0.010000,4.465217,-1.075000,4.465246,9.058789,4.364980,-58.199738,0.000000
0.010000,4.556183,-1.075000,4.556212,9.096619,3.782983,-58.199738,0.000000
0.010000,4.647469,-1.075000,4.647498,9.128629,3.200986,-58.199738,0.000000
0.010000,4.739017,-1.075000,4.739046,9.154819,2.618988,-58.199738,0.000000
0.010000,4.830769,-1.075000,4.830798,9.175189,2.036991,-58.199738,0.000000
0.010000,4.922667,-1.075000,4.922696,9.189739,1.454993,-58.199738,0.000000
0.010000,5.014642,-1.075000,5.014671,9.197539,0.780008,-67.498511,0.000000
0.010000,5.106599,-1.075000,5.106628,9.195679,-0.185975,-96.598380,0.000000
0.010000,5.198450,-1.075000,5.198479,9.185089,-1.058972,-87.299608,0.000000
0.010000,5.290137,-1.075000,5.290166,9.168680,-1.640969,-58.199738,0.000000
0.010000,5.381601,-1.075000,5.381630,9.146450,-2.222966,-58.199738,0.000000
0.010000,5.472785,-1.075000,5.472814,9.118400,-2.804964,-58.199738,0.000000
0.010000,5.563630,-1.075000,5.563659,9.084531,-3.386961,-58.199738,0.000000
0.010000,5.654079,-1.075000,5.654108,9.044841,-3.968958,-58.199738,0.000000
0.010000,5.744072,-1.075000,5.744101,8.999332,-4.550956,-58.199738,0.000000
0.010000,5.833552,-1.075000,5.833581,8.948002,-5.132953,-58.199738,0.000000
0.010000,5.922461,-1.075000,5.922490,8.890853,-5.714951,-58.199738,0.000000
0.010000,6.010739,-1.075000,6.010769,8.827883,-6.296948,-58.199738,0.000000
0.010000,6.098330,-1.075000,6.098359,8.759094,-6.878945,-58.199738,0.000000
0.010000,6.185175,-1.075000,6.185204,8.684484,-7.460943,-58.199738,0.000000
0.010000,6.271216,-1.075000,6.271245,8.604055,-8.042940,-58.199738,0.000000
0.010000,6.356394,-1.075000,6.356423,8.517805,-8.624938,-58.199738,0.000000
0.010000,6.440651,-1.075000,6.440680,8.425736,-9.206935,-58.199738,0.000000
0.010000,6.523939,-1.075000,6.523968,8.328777,-9.695945,-48.900965,0.000000
0.010000,6.606237,-1.075000,6.606266,8.229837,-9.893956,-19.801096,0.000000
0.010000,6.687546,-1.075000,6.687575,8.130897,-9.893956,-0.000000,0.000000
0.010000,6.767866,-1.075000,6.767895,8.031958,-9.893956,-0.000000,0.000000
0.010000,6.847196,-1.075000,6.847225,7.933018,-9.893956,0.000000,0.000000
0.010000,6.925537,-1.075000,6.925566,7.834079,-9.893956,-0.000000,0.000000
0.010000,7.002888,-1.075000,7.002917,7.735139,-9.893956,0.000000,0.000000
0.010000,7.079250,-1.075000,7.079279,7.636200,-9.893956,0.000000,0.000000
0.010000,7.154623,-1.075000,7.154652,7.537260,-9.893956,0.000000,0.000000
0.010000,7.229006,-1.075000,7.229035,7.438321,-9.893956,-0.000000,0.000000
0.010000,7.302400,-1.075000,7.302429,7.339381,-9.893956,0.000000,0.000000
0.010000,7.374804,-1.075000,7.374833,7.240441,-9.893956,0.000000,0.000000
0.010000,7.446219,-1.075000,7.446248,7.141502,-9.893956,-0.000000,0.000000
0.010000,7.516645,-1.075000,7.516674,7.042562,-9.893956,-0.000000,0.000000
0.010000,7.586081,-1.075000,7.586110,6.943623,-9.893956,0.000000,0.000000
0.010000,7.654528,-1.075000,7.654557,6.844683,-9.893956,-0.000000,0.000000
