dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-25.499996,-18.925000,-0.000015,-0.002915,-0.291528,-29.152826,3.141589
0.010000,-25.499984,-18.925000,-0.000026,-0.001131,0.178399,46.992727,3.141594
0.010000,-25.499867,-18.925000,-0.000143,-0.011743,-1.061174,-123.957287,3.141607
0.010000,-25.499658,-18.925000,-0.000352,-0.020877,-0.913362,14.781212,3.141630
0.010000,-25.499332,-18.925000,-0.000678,-0.032620,-1.174350,-26.098793,3.141665
0.010000,-25.498862,-18.925000,-0.001148,-0.046974,-1.435368,-26.101841,3.141717
0.010000,-25.498223,-18.925000,-0.001787,-0.063938,-1.696432,-26.106405,3.141786
0.010000,-25.497388,-18.925000,-0.002623,-0.083514,-1.957559,-26.112733,3.141877
0.010000,-25.496331,-18.924999,-0.003680,-0.105701,-2.218771,-26.121161,3.141992
0.010000,-25.495026,-18.924999,-0.004985,-0.130502,-2.480091,-26.131986,3.142134
0.010000,-25.493447,-18.924998,-0.006564,-0.157918,-2.741546,-26.145483,3.142306
0.010000,-25.491567,-18.924996,-0.008443,-0.187949,-3.003166,-26.161999,3.142510
0.010000,-25.489361,-18.924994,-0.010649,-0.220599,-3.264984,-26.181795,3.142750
0.010000,-25.486802,-18.924991,-0.013208,-0.255870,-3.527036,-26.205212,3.143027
0.010000,-25.483865,-18.924986,-0.016146,-0.293763,-3.789361,-26.232551,3.143345
0.010000,-25.480522,-18.924979,-0.019488,-0.334283,-4.052003,-26.264128,3.143707
0.010000,-25.476748,-18.924971,-0.023263,-0.377433,-4.315005,-26.300247,3.144115
0.010000,-25.472528,-18.924959,-0.027482,-0.421911,-4.447783,-13.277783,3.144569
0.010000,-25.467864,-18.924944,-0.032146,-0.466414,-4.450254,-0.247078,3.145071
0.010000,-25.462755,-18.924925,-0.037255,-0.510944,-4.452988,-0.273469,3.145620
0.010000,-25.457200,-18.924901,-0.042810,-0.555503,-4.455988,-0.299960,3.146216
0.010000,-25.451199,-18.924871,-0.048811,-0.600096,-4.459254,-0.326576,3.146857
0.010000,-25.444752,-18.924835,-0.055259,-0.644724,-4.462787,-0.353319,3.147544
0.010000,-25.437858,-18.924791,-0.062153,-0.689390,-4.466589,-0.380200,3.148277
0.010000,-25.430517,-18.924739,-0.069494,-0.734096,-4.470661,-0.407203,3.149055
0.010000,-25.422729,-18.924678,-0.077282,-0.778846,-4.475005,-0.434382,3.149878
0.010000,-25.414493,-18.924606,-0.085518,-0.823643,-4.479622,-0.461685,3.150745
0.010000,-25.405809,-18.924523,-0.094203,-0.868488,-4.484513,-0.489173,3.151656
0.010000,-25.396675,-18.924427,-0.103337,-0.913385,-4.489681,-0.516796,3.152611
0.010000,-25.387093,-18.924316,-0.112921,-0.958336,-4.495127,-0.544610,3.153608
0.010000,-25.377060,-18.924190,-0.122954,-1.003344,-4.500853,-0.572576,3.154647
0.010000,-25.366577,-18.924048,-0.133438,-1.048413,-4.506860,-0.600717,3.155729
0.010000,-25.355642,-18.923887,-0.144374,-1.093545,-4.513151,-0.629034,3.156851
0.010000,-25.344256,-18.923707,-0.155761,-1.138742,-4.519726,-0.657524,3.158014
0.010000,-25.332418,-18.923505,-0.167601,-1.184008,-4.526588,-0.686176,3.159217
