dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-25.500004,-21.075000,-0.000015,-0.002915,-0.291528,-29.152826,3.141589
0.010000,-25.499981,-21.075000,-0.000038,-0.002354,0.056107,34.763532,3.141594
0.010000,-25.499836,-21.075000,-0.000183,-0.014495,-1.214030,-127.013709,3.141607
0.010000,-25.499578,-21.075000,-0.000441,-0.025768,-1.127336,8.669398,3.141630
0.010000,-25.499176,-21.075000,-0.000843,-0.040262,-1.449405,-32.206869,3.141665
0.010000,-25.498596,-21.075000,-0.001423,-0.057976,-1.771443,-32.203795,3.141717
0.010000,-25.497807,-21.075000,-0.002212,-0.078911,-2.093435,-32.199262,3.141786
0.010000,-25.496776,-21.075000,-0.003243,-0.103064,-2.415364,-32.192911,3.141877
0.010000,-25.495472,-21.074999,-0.004547,-0.130436,-2.737209,-32.184484,3.141992
0.010000,-25.493861,-21.074998,-0.006157,-0.161026,-3.058946,-32.173678,3.142134
0.010000,-25.491913,-21.074997,-0.008106,-0.194831,-3.380548,-32.160155,3.142306
0.010000,-25.489595,-21.074995,-0.010424,-0.231851,-3.701984,-32.143665,3.142510
0.010000,-25.486874,-21.074992,-0.013145,-0.272083,-4.023223,-32.123848,3.142750
0.010000,-25.483718,-21.074988,-0.016300,-0.315526,-4.344227,-32.100434,3.143027
0.010000,-25.480097,-21.074983,-0.019922,-0.362175,-4.664958,-32.073100,3.143345
0.010000,-25.475976,-21.074975,-0.024042,-0.412029,-4.985373,-32.041529,3.143707
0.010000,-25.471326,-21.074964,-0.028693,-0.465083,-5.305427,-32.005388,3.144115
0.010000,-25.466128,-21.074950,-0.033891,-0.519725,-5.464178,-15.875041,3.144569
0.010000,-25.460385,-21.074931,-0.039634,-0.574342,-5.461707,0.247084,3.145071
0.010000,-25.454096,-21.074907,-0.045923,-0.628932,-5.458972,0.273467,3.145620
0.010000,-25.447261,-21.074878,-0.052758,-0.683492,-5.455972,0.299971,3.146216
0.010000,-25.439881,-21.074841,-0.060138,-0.738019,-5.452707,0.326586,3.146857
0.010000,-25.431956,-21.074797,-0.068063,-0.792510,-5.449173,0.353326,3.147544
0.010000,-25.423486,-21.074743,-0.076533,-0.846964,-5.445371,0.380195,3.148277
0.010000,-25.414473,-21.074680,-0.085547,-0.901377,-5.441299,0.407229,3.149055
0.010000,-25.404916,-21.074604,-0.095104,-0.955747,-5.436955,0.434374,3.149878
0.010000,-25.394815,-21.074516,-0.105205,-1.010070,-5.432338,0.461708,3.150745
0.010000,-25.384172,-21.074414,-0.115849,-1.064344,-5.427447,0.489166,3.151656
