dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.000010,8.575000,0.000222,0.022222,1.111111,55.555556,6.283185
0.020000,17.000943,8.575000,0.001155,0.046625,1.220139,5.451379,6.283144
0.020000,17.003041,8.575000,0.003253,0.104910,2.914250,84.705541,6.283053
0.020000,17.006771,8.574999,0.006983,0.186520,4.080483,58.311695,6.282890
0.020000,17.012601,8.574997,0.012813,0.291470,5.247540,58.352845,6.282636
0.020000,17.020996,8.574990,0.021209,0.419790,6.415957,58.420813,6.282267
0.020000,17.032427,8.574977,0.032639,0.571518,7.586422,58.523278,6.281764
0.020000,17.047361,8.574951,0.047573,0.746714,8.759806,58.669171,6.281101
0.020000,17.066270,8.574903,0.066482,0.945457,9.937155,58.867484,6.280256
0.020000,17.089393,8.574824,0.089606,1.156171,10.535703,29.927386,6.279211
0.020000,17.116739,8.574698,0.116951,1.367270,10.554922,0.960936,6.277959
0.020000,17.148315,8.574510,0.148528,1.578839,10.578462,1.177028,6.276492
0.020000,17.184133,8.574240,0.184347,1.790974,10.606770,1.415374,6.274800
0.020000,17.224207,8.573865,0.224423,2.003783,10.640414,1.682195,6.272869
0.020000,17.268552,8.573359,0.268771,2.217385,10.680117,1.985154,6.270685
0.020000,17.317186,8.572692,0.317409,2.431920,10.726739,2.331114,6.268231
0.020000,17.370130,8.571828,0.370360,2.647547,10.781370,2.731548,6.265486
0.020000,17.427408,8.570727,0.427649,2.864454,10.845347,3.198879,6.262426
0.020000,17.489050,8.569343,0.489306,3.082861,10.920336,3.749406,6.259024
0.020000,17.555088,8.567623,0.555367,3.303029,11.008410,4.403718,6.255246
0.020000,17.625324,8.565514,0.625635,3.513387,10.517900,-24.525516,6.251070
0.020000,17.699325,8.562968,0.699680,3.702243,9.442821,-53.753949,6.246480
0.020000,17.776660,8.559935,0.777074,3.869697,8.372665,-53.507789,6.241462
0.020000,17.856897,8.556368,0.857390,4.015833,7.306836,-53.291448,6.236000
0.020000,17.939608,8.552219,0.940205,4.140725,6.244558,-53.113910,6.230074
0.020000,18.024362,8.547443,1.025093,4.244420,5.184787,-52.988545,6.223666
0.020000,18.110729,8.542000,1.111632,4.326943,4.126134,-52.932664,6.216756
0.020000,18.198279,8.535852,1.199397,4.388276,3.066674,-52.972989,6.209326
0.020000,18.286578,8.528968,1.287965,4.428354,2.003851,-53.141115,6.201356
0.020000,18.375438,8.521302,1.377154,4.459472,1.555939,-22.395645,6.192808
0.020000,18.464920,8.512782,1.467041,4.494351,1.743947,9.400420,6.183610
0.020000,18.555098,8.503326,1.557714,4.533636,1.964221,11.013690,6.173682
0.020000,18.646058,8.492836,1.649276,4.578116,2.224026,12.990252,6.162926
0.020000,18.737899,8.481199,1.741851,4.628769,2.532660,15.431709,6.151227
0.020000,18.830740,8.468280,1.835588,4.686812,2.902155,18.474727,6.138449
0.020000,18.924725,8.453916,1.930663,4.753777,3.348226,22.303593,6.124424
0.020000,19.020022,8.437912,2.027295,4.831610,3.891656,27.171495,6.108951
0.020000,19.116840,8.420024,2.125752,4.922814,4.560205,33.427436,6.091782
0.020000,19.215430,8.399952,2.226365,5.030643,5.391429,41.561176,6.072605
0.020000,19.316104,8.377313,2.329552,5.159378,6.436743,52.265700,6.051034
0.020000,19.419245,8.351615,2.435847,5.314725,7.767369,66.531331,6.026571
0.020000,19.525333,8.322211,2.545934,5.504386,9.483035,85.783291,5.998579
0.020000,19.634968,8.288237,2.660712,5.738877,11.724580,112.077257,5.966223
0.020000,19.748893,8.248509,2.781366,6.032706,14.691435,148.342745,5.928399
0.020000,19.868027,8.201372,2.909486,6.405984,18.663887,198.622576,5.883627
0.020000,19.993451,8.144467,3.047215,6.886458,24.023737,267.992543,5.829910
0.020000,20.126328,8.074381,3.197443,7.511412,31.247677,361.196980,5.764556
0.020000,20.267592,7.986167,3.363987,8.327205,40.789631,477.097724,5.684008
0.020000,20.417105,7.872866,3.551581,9.379712,52.625365,591.786672,5.583847
0.020000,20.571818,7.725606,3.765173,10.679595,64.994157,618.439628,5.459448
0.020000,20.722754,7.535931,4.007574,12.120054,72.022969,351.440587,5.308161
0.020000,20.853041,7.302415,4.274978,13.370157,62.505150,-475.890982,5.133516
0.020000,20.942923,7.038851,4.553446,13.923438,27.664040,-1742.055502,4.948524
0.020000,20.982510,6.772140,4.823079,13.481654,-22.089220,-2487.662977,4.771794
0.020000,20.977986,6.526641,5.068620,12.277034,-60.231018,-1907.089921,4.617576
0.020000,20.943703,6.313024,5.284970,10.817514,-72.975970,-637.247595,4.490603
0.020000,20.892544,6.130667,5.474368,9.469887,-67.381363,279.730385,4.388762
0.020000,20.832813,5.974351,5.641707,8.366939,-55.147413,611.697469,4.307473
0.020000,20.769103,5.838380,5.791864,7.507848,-42.954515,609.644925,4.242186
0.020000,20.703773,5.718002,5.928826,6.848133,-32.985774,498.437062,4.189183
