dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.000009,6.425000,0.000222,0.022222,1.111111,55.555556,6.283185
0.020000,17.000855,6.425000,0.001068,0.042264,1.002087,-5.451225,6.283144
0.020000,17.002756,6.425000,0.002969,0.095090,2.641304,81.960879,6.283053
0.020000,17.006137,6.424999,0.006350,0.169036,3.697293,52.799459,6.282890
0.020000,17.011419,6.424997,0.011632,0.264085,4.752460,52.758308,6.282636
0.020000,17.019023,6.424991,0.019236,0.380210,5.806265,52.690280,6.282267
0.020000,17.029370,6.424979,0.029583,0.517371,6.858020,52.587723,6.281764
0.020000,17.042881,6.424956,0.043094,0.675508,7.906866,52.442296,6.281101
0.020000,17.059971,6.424913,0.060184,0.854543,8.951725,52.242980,6.280256
0.020000,17.080848,6.424841,0.081061,1.043829,9.464302,25.628825,6.279211
0.020000,17.105502,6.424727,0.105716,1.232730,9.445070,-0.961562,6.277959
0.020000,17.133925,6.424558,0.134139,1.421161,9.421536,-1.176730,6.276492
0.020000,17.166104,6.424315,0.166319,1.609025,9.393227,-1.415417,6.274800
0.020000,17.202027,6.423980,0.202244,1.796217,9.359572,-1.682789,6.272869
0.020000,17.241677,6.423527,0.241896,1.982614,9.319873,-1.984929,6.270685
0.020000,17.285034,6.422932,0.285257,2.168079,9.273243,-2.331497,6.268231
0.020000,17.332077,6.422165,0.332306,2.352451,9.218608,-2.731762,6.265486
0.020000,17.382779,6.421190,0.383017,2.535544,9.154627,-3.199045,6.262426
0.020000,17.437108,6.419970,0.437360,2.717136,9.079634,-3.749654,6.259024
0.020000,17.495027,6.418462,0.495299,2.896967,8.991541,-4.404655,6.255246
0.020000,17.556287,6.416623,0.556587,3.064386,8.370938,-31.030156,6.251070
0.020000,17.620427,6.414416,0.620764,3.208862,7.223779,-57.357951,6.246480
0.020000,17.686982,6.411806,0.687370,3.330296,6.071704,-57.603735,6.241462
0.020000,17.755486,6.408761,0.755942,3.428602,4.915304,-57.820017,6.236000
0.020000,17.825472,6.405250,0.826017,3.503709,3.755350,-57.997698,6.230074
0.020000,17.896471,6.401250,0.897128,3.555566,2.592876,-58.123663,6.223666
0.020000,17.968012,6.396742,0.968811,3.584152,1.429306,-58.178523,6.216756
0.020000,18.039625,6.391714,1.040601,3.589483,0.266529,-58.138851,6.209326
0.020000,18.110842,6.386162,1.112033,3.571625,-0.892883,-57.970574,6.201356
0.020000,18.181390,6.380077,1.182843,3.540503,-1.556099,-33.160806,6.192808
0.020000,18.251187,6.373432,1.252956,3.505621,-1.744138,-9.401948,6.183610
