dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-16.545907,-5.525616,-0.000222,-0.022222,-1.111111,-55.555556,5.846915
0.020000,-16.547013,-5.525100,-0.001443,-0.061031,-1.940456,-41.467229,5.847223
0.020000,-16.549503,-5.523941,-0.004189,-0.137328,-3.814849,-93.719671,5.847918
0.020000,-16.553933,-5.521885,-0.009073,-0.244166,-5.341871,-76.351084,5.849153
0.020000,-16.560860,-5.518682,-0.016704,-0.381576,-6.870511,-76.432027,5.851084
0.020000,-16.570848,-5.514093,-0.027696,-0.549610,-8.401696,-76.559216,5.853868
0.020000,-16.584468,-5.507889,-0.042663,-0.748338,-9.936419,-76.736177,5.857661
0.020000,-16.602301,-5.499860,-0.062220,-0.977850,-11.475581,-76.958114,5.862624
0.020000,-16.624940,-5.489820,-0.086985,-1.238245,-13.019747,-77.208264,5.868917
0.020000,-16.652711,-5.477736,-0.117272,-1.514320,-13.803752,-39.200269,5.876625
0.020000,-16.685389,-5.463842,-0.152781,-1.775486,-13.058286,37.273331,5.885678
0.020000,-16.722466,-5.448497,-0.192908,-2.006322,-11.541803,75.824142,5.895925
0.020000,-16.763424,-5.432061,-0.237040,-2.206638,-10.015800,76.300145,5.907211
0.020000,-16.807734,-5.414881,-0.284565,-2.376213,-8.478757,76.852127,5.919379
0.020000,-16.854853,-5.397287,-0.334861,-2.514821,-6.930387,77.418512,5.932265
0.020000,-16.904222,-5.379589,-0.387306,-2.622254,-5.371659,77.936387,5.945702
0.020000,-16.955267,-5.362073,-0.441273,-2.698348,-3.804736,78.346171,5.959522
0.020000,-17.007400,-5.344990,-0.496133,-2.743005,-2.232806,78.596475,5.973553
0.020000,-17.060019,-5.328563,-0.551257,-2.756201,-0.659827,78.648970,5.987622
0.020000,-17.112809,-5.312894,-0.606323,-2.753291,0.145496,40.266142,6.001637
0.020000,-17.165741,-5.297983,-0.661315,-2.749605,0.184309,1.940675,6.015584
0.020000,-17.218789,-5.283834,-0.716218,-2.745148,0.222836,1.926350,6.029447
0.020000,-17.271927,-5.270444,-0.771017,-2.739930,0.260889,1.902635,6.043214
0.020000,-17.325127,-5.257811,-0.825696,-2.733965,0.298287,1.869902,6.056869
0.020000,-17.378363,-5.245932,-0.880241,-2.727268,0.334858,1.828545,6.070400
0.020000,-17.431609,-5.234801,-0.934639,-2.719859,0.370441,1.779149,6.083794
0.020000,-17.484840,-5.224411,-0.988874,-2.711761,0.404888,1.722342,6.097036
0.020000,-17.538030,-5.214754,-1.042934,-2.703000,0.438065,1.658834,6.110115
0.020000,-17.591156,-5.205820,-1.096806,-2.693603,0.469853,1.589423,6.123020
0.020000,-17.644195,-5.197598,-1.150478,-2.683600,0.500151,1.514908,6.135738
0.020000,-17.697123,-5.190076,-1.203938,-2.673022,0.528874,1.436165,6.148260
0.020000,-17.749921,-5.183240,-1.257176,-2.661903,0.555955,1.354039,6.160575
0.020000,-17.802567,-5.177077,-1.310182,-2.650276,0.581343,1.269398,6.172673
0.020000,-17.855042,-5.171570,-1.362945,-2.638176,0.605005,1.183088,6.184547
0.020000,-17.907329,-5.166703,-1.415458,-2.625638,0.626923,1.095915,6.196187
0.020000,-17.959410,-5.162461,-1.467712,-2.612696,0.647096,1.008649,6.207586
0.020000,-18.011270,-5.158824,-1.519700,-2.599385,0.665536,0.922010,6.218738
0.020000,-18.062895,-5.155776,-1.571414,-2.585740,0.682270,0.836662,6.229635
0.020000,-18.114271,-5.153297,-1.622850,-2.571793,0.697333,0.753191,6.240274
0.020000,-18.165387,-5.151368,-1.674002,-2.557577,0.710776,0.672137,6.250647
0.020000,-18.216230,-5.149972,-1.724864,-2.543124,0.722655,0.593952,6.260752
0.020000,-18.266791,-5.149087,-1.775434,-2.528464,0.733036,0.519032,6.270584
0.020000,-18.317062,-5.148694,-1.825706,-2.513624,0.741990,0.447697,6.280140
0.020000,-18.367035,-5.148775,-1.875679,-2.498632,0.749594,0.380206,0.006232
0.020000,-18.416702,-5.149309,-1.925349,-2.483513,0.755929,0.316755,0.015228
0.020000,-18.466059,-5.150276,-1.974715,-2.468292,0.761079,0.257480,0.023940
0.020000,-18.515099,-5.151658,-2.023775,-2.452989,0.765128,0.202466,0.032368
0.020000,-18.563819,-5.153435,-2.072527,-2.437626,0.768163,0.151748,0.040510
0.020000,-18.612216,-5.155588,-2.120972,-2.422220,0.770269,0.105321,0.048365
0.020000,-18.660286,-5.158099,-2.169107,-2.406790,0.771532,0.063137,0.055934
0.020000,-18.708028,-5.160947,-2.216934,-2.391349,0.772034,0.025120,0.063215
0.020000,-18.755440,-5.164116,-2.264453,-2.375912,0.771858,-0.008833,0.070208
0.020000,-18.802523,-5.167586,-2.311662,-2.360490,0.771081,-0.038855,0.076915
0.020000,-18.849274,-5.171341,-2.358564,-2.345095,0.769779,-0.065088,0.083336
0.020000,-18.895695,-5.175363,-2.405159,-2.329734,0.768025,-0.087699,0.089470
0.020000,-18.941785,-5.179635,-2.451447,-2.314417,0.765888,-0.106853,0.095320
0.020000,-18.987547,-5.184140,-2.497430,-2.299148,0.763433,-0.122737,0.100886
0.020000,-19.032981,-5.188861,-2.543109,-2.283933,0.760723,-0.135529,0.106168
0.020000,-19.078089,-5.193783,-2.588484,-2.268777,0.757814,-0.145423,0.111169
0.020000,-19.122872,-5.198890,-2.633558,-2.253682,0.754762,-0.152600,0.115889
0.020000,-19.167333,-5.204167,-2.678331,-2.238650,0.751617,-0.157249,0.120329
0.020000,-19.211474,-5.209598,-2.722805,-2.223681,0.748426,-0.159551,0.124490
0.020000,-19.255297,-5.215170,-2.766980,-2.208776,0.745232,-0.159685,0.128374
0.020000,-19.298804,-5.220866,-2.810859,-2.193935,0.742076,-0.157824,0.131982
0.020000,-19.341999,-5.226675,-2.854442,-2.179155,0.738993,-0.154136,0.135316
0.020000,-19.384882,-5.232581,-2.897731,-2.164435,0.736018,-0.148783,0.138375
0.020000,-19.427458,-5.238572,-2.940726,-2.149771,0.733179,-0.141920,0.141161
0.020000,-19.469729,-5.244634,-2.983429,-2.135161,0.730505,-0.133698,0.143676
0.020000,-19.511697,-5.250755,-3.025841,-2.120601,0.728020,-0.124257,0.145920
0.020000,-19.553365,-5.256921,-3.067963,-2.106086,0.725745,-0.113737,0.147893
0.020000,-19.594735,-5.263122,-3.109795,-2.091612,0.723700,-0.102267,0.149598
0.020000,-19.635810,-5.269344,-3.151339,-2.077174,0.721901,-0.089976,0.151034
0.020000,-19.676592,-5.275576,-3.192594,-2.062766,0.720361,-0.076984,0.152201
0.020000,-19.717083,-5.281806,-3.233562,-2.048385,0.719093,-0.063407,0.153101
0.020000,-19.757286,-5.288023,-3.274242,-2.034022,0.718105,-0.049360,0.153734
0.020000,-19.797202,-5.294217,-3.314636,-2.019674,0.717406,-0.034954,0.154101
0.020000,-19.836833,-5.300376,-3.354742,-2.005334,0.717000,-0.020296,0.154200
0.020000,-19.876180,-5.306489,-3.394562,-1.990997,0.716891,-0.005493,0.154032
0.020000,-19.915247,-5.312547,-3.434095,-1.976655,0.717078,0.009349,0.153598
0.020000,-19.954033,-5.318539,-3.473342,-1.962304,0.717560,0.024124,0.152897
0.020000,-19.992540,-5.324455,-3.512300,-1.947937,0.718335,0.038728,0.151928
0.020000,-20.030769,-5.330285,-3.550971,-1.933549,0.719396,0.053053,0.150692
0.020000,-20.068720,-5.336019,-3.589354,-1.919134,0.720736,0.066991,0.149187
0.020000,-20.106396,-5.341648,-3.627448,-1.904688,0.722344,0.080429,0.147414
0.020000,-20.143796,-5.347164,-3.665252,-1.890203,0.724209,0.093254,0.145371
0.020000,-20.180920,-5.352556,-3.702765,-1.875677,0.726316,0.105348,0.143058
0.020000,-20.217768,-5.357816,-3.739987,-1.861104,0.728648,0.116587,0.140474
