dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-17.454443,-7.474221,-0.000222,-0.022222,-1.111111,-55.555556,5.846876
0.020000,-17.455129,-7.473901,-0.000978,-0.037810,-0.779364,16.587357,5.847000
0.020000,-17.456671,-7.473183,-0.002680,-0.085067,-2.362884,-79.176022,5.847277
0.020000,-17.459413,-7.471906,-0.005704,-0.151216,-3.307452,-47.228399,5.847772
0.020000,-17.463697,-7.469915,-0.010429,-0.236239,-4.251122,-47.183465,5.848544
0.020000,-17.469869,-7.467054,-0.017231,-0.340105,-5.193319,-47.109845,5.849659
0.020000,-17.478271,-7.463173,-0.026486,-0.462772,-6.133326,-47.000383,5.851178
0.020000,-17.489249,-7.458124,-0.038570,-0.604177,-7.070283,-46.847836,5.853168
0.020000,-17.503151,-7.451770,-0.053855,-0.764241,-8.003183,-46.645026,5.855693
0.020000,-17.520151,-7.444056,-0.072523,-0.933433,-8.459626,-22.822147,5.858792
0.020000,-17.540085,-7.435093,-0.094380,-1.092826,-7.969619,24.500368,5.862440
0.020000,-17.562615,-7.425067,-0.119040,-1.232979,-7.007676,48.097141,5.866581
0.020000,-17.587402,-7.414167,-0.146118,-1.353916,-6.046852,48.041192,5.871159
0.020000,-17.614108,-7.402574,-0.175231,-1.455680,-5.088165,47.934379,5.876118
0.020000,-17.642393,-7.390467,-0.205998,-1.538329,-4.132488,47.783818,5.881400
0.020000,-17.671915,-7.378020,-0.238037,-1.601941,-3.180553,47.596765,5.886945
0.020000,-17.702331,-7.365397,-0.270969,-1.646599,-2.232939,47.380688,5.892693
0.020000,-17.733299,-7.352756,-0.304417,-1.672401,-1.290076,47.143150,5.898581
0.020000,-17.764471,-7.340247,-0.338006,-1.679446,-0.352239,46.891895,5.904545
0.020000,-17.795675,-7.327941,-0.371549,-1.677148,0.114899,23.356852,5.910551
0.020000,-17.826910,-7.315840,-0.405046,-1.674857,0.114510,-0.019437,5.916601
0.020000,-17.858175,-7.303945,-0.438497,-1.672576,0.114064,-0.022274,5.922692
0.020000,-17.889470,-7.292257,-0.471903,-1.670305,0.113561,-0.025179,5.928826
0.020000,-17.920794,-7.280778,-0.505264,-1.668045,0.112997,-0.028163,5.935002
0.020000,-17.952146,-7.269508,-0.538580,-1.665798,0.112374,-0.031197,5.941219
0.020000,-17.983525,-7.258449,-0.571852,-1.663564,0.111687,-0.034307,5.947479
0.020000,-18.014932,-7.247601,-0.605079,-1.661345,0.110938,-0.037466,5.953779
0.020000,-18.046364,-7.236967,-0.638261,-1.659143,0.110124,-0.040696,5.960121
0.020000,-18.077823,-7.226546,-0.671401,-1.656958,0.109245,-0.043970,5.966503
0.020000,-18.109306,-7.216340,-0.704496,-1.654792,0.108299,-0.047310,5.972925
0.020000,-18.140813,-7.206351,-0.737549,-1.652646,0.107285,-0.050688,5.979388
