dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-2.250125,-11.925000,-0.000222,-0.022222,-1.111111,-55.555556,6.283140
0.020000,-2.250765,-11.925000,-0.000862,-0.031971,-0.487427,31.184190,6.282908
0.020000,-2.252204,-11.924999,-0.002301,-0.071993,-2.001114,-75.684332,6.282387
0.020000,-2.254768,-11.924996,-0.004865,-0.128188,-2.809762,-40.432404,6.281464
0.020000,-2.258784,-11.924986,-0.008881,-0.200806,-3.630904,-41.057073,6.280032
0.020000,-2.264589,-11.924962,-0.014686,-0.290252,-4.472276,-42.068623,6.277990
0.020000,-2.272531,-11.924910,-0.022629,-0.397116,-5.343215,-43.546961,6.275249
0.020000,-2.282975,-11.924808,-0.033073,-0.522203,-6.254346,-45.556560,6.271735
0.020000,-2.296305,-11.924627,-0.046404,-0.666546,-7.217166,-48.140959,6.267391
0.020000,-2.312763,-11.924324,-0.062865,-0.823057,-7.825515,-30.417452,6.262239
0.020000,-2.332444,-11.923853,-0.082552,-0.984336,-8.063942,-11.921388,6.256366
0.020000,-2.355454,-11.923160,-0.105572,-1.151024,-8.334427,-13.524212,6.249874
0.020000,-2.381910,-11.922185,-0.132045,-1.323668,-8.632175,-14.887427,6.242872
0.020000,-2.411935,-11.920861,-0.162100,-1.502713,-8.952293,-16.005877,6.235481
0.020000,-2.445660,-11.919120,-0.195870,-1.688514,-9.290022,-16.886476,6.227825
0.020000,-2.483221,-11.916890,-0.233497,-1.881334,-9.640990,-17.548380,6.220036
0.020000,-2.524754,-11.914098,-0.275124,-2.081363,-10.001443,-18.022650,6.212248
0.020000,-2.570401,-11.910675,-0.320899,-2.288732,-10.368475,-18.351607,6.204596
0.020000,-2.620302,-11.906556,-0.370969,-2.503537,-10.740228,-18.587645,6.197220
0.020000,-2.674600,-11.901682,-0.425486,-2.725858,-11.116074,-18.792295,6.190260
0.020000,-2.733443,-11.896002,-0.484602,-2.955794,-11.496781,-19.035342,6.183856
0.020000,-2.796979,-11.889481,-0.548472,-3.193487,-11.884671,-19.394534,6.178154
0.020000,-2.865365,-11.882097,-0.617255,-3.439163,-12.283798,-19.956335,6.173301
0.020000,-2.938766,-11.873847,-0.691119,-3.693166,-12.700152,-20.817726,6.169453
0.020000,-3.017361,-11.864753,-0.770239,-3.956005,-13.141946,-22.089677,6.166774
0.020000,-3.101349,-11.854864,-0.854807,-4.228405,-13.620000,-23.902706,6.165442
0.020000,-3.190952,-11.844262,-0.945034,-4.511371,-14.148297,-26.414846,6.165653
0.020000,-3.286423,-11.833071,-1.041160,-4.806266,-14.744756,-29.822935,6.167630
0.020000,-3.388061,-11.821463,-1.143458,-5.114912,-15.432315,-34.377943,6.171629
0.020000,-3.496215,-11.809674,-1.252252,-5.439721,-16.240421,-40.405336,6.177949
0.020000,-3.611059,-11.798042,-1.367684,-5.771592,-16.593553,-17.656559,6.186930
0.020000,-3.732577,-11.787019,-1.489701,-6.100827,-16.461746,6.590311,6.198936
0.020000,-3.860794,-11.777156,-1.618297,-6.429795,-16.448397,0.667462,6.214375
0.020000,-3.995785,-11.769128,-1.753526,-6.761472,-16.583849,-6.772575,6.233712
0.020000,-4.137671,-11.763749,-1.895514,-7.099391,-16.895960,-15.605550,6.257477
0.020000,-4.286610,-11.762015,-2.044463,-7.447465,-17.403726,-25.388332,0.003086
0.020000,-4.442770,-11.765133,-2.200655,-7.809578,-18.105621,-35.094721,0.037587
0.020000,-4.606273,-11.774570,-2.364430,-8.188770,-18.959623,-42.700106,0.078525
