dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-2.250223,-14.075000,-0.000222,-0.022222,-1.111111,-55.555556,6.283140
0.020000,-2.251361,-14.075000,-0.001361,-0.056918,-1.734795,-31.184197,6.282908
0.020000,-2.253921,-14.074998,-0.003921,-0.128007,-3.554441,-90.982308,6.282387
0.020000,-2.258469,-14.074993,-0.008468,-0.227367,-4.968015,-70.678709,6.281464
0.020000,-2.265564,-14.074975,-0.015563,-0.354749,-6.369095,-70.053967,6.280032
0.020000,-2.275759,-14.074933,-0.025758,-0.509748,-7.749942,-69.042351,6.277990
0.020000,-2.289594,-14.074842,-0.039593,-0.691772,-9.101219,-67.563866,6.275249
0.020000,-2.307593,-14.074667,-0.057594,-0.900018,-10.412301,-65.554087,6.271735
0.020000,-2.330260,-14.074358,-0.080263,-1.133452,-11.671689,-62.969417,6.267391
0.020000,-2.357794,-14.073852,-0.107802,-1.376941,-12.174434,-25.137261,6.262239
0.020000,-2.390098,-14.073080,-0.140115,-1.615661,-11.935993,11.922088,6.256366
0.020000,-2.427061,-14.071968,-0.177094,-1.848971,-11.665497,13.524801,6.249874
0.020000,-2.468559,-14.070438,-0.218621,-2.076325,-11.367741,14.887773,6.242872
0.020000,-2.514460,-14.068416,-0.264566,-2.297278,-11.047622,16.005953,6.235481
0.020000,-2.564623,-14.065826,-0.314796,-2.511476,-10.709897,16.886236,6.227825
0.020000,-2.618901,-14.062604,-0.369169,-2.718655,-10.358942,17.547783,6.220036
0.020000,-2.677142,-14.058691,-0.427541,-2.918625,-9.998507,18.021756,6.212248
0.020000,-2.739193,-14.054039,-0.489767,-3.111255,-9.631498,18.350408,6.204596
0.020000,-2.804898,-14.048617,-0.555696,-3.296450,-9.259773,18.586250,6.197220
0.020000,-2.874103,-14.042406,-0.625178,-3.474129,-8.883958,18.790790,6.190260
0.020000,-2.946650,-14.035405,-0.698062,-3.644195,-8.503281,19.033808,6.183856
0.020000,-3.022382,-14.027633,-0.774192,-3.806503,-8.115418,19.393155,6.178154
0.020000,-3.101141,-14.019129,-0.853409,-3.960830,-7.716313,19.955266,6.173301
0.020000,-3.182764,-14.009957,-0.935545,-4.106829,-7.299970,20.817157,6.169453
0.020000,-3.267081,-14.000201,-1.020425,-4.243992,-6.858172,22.089903,6.166774
0.020000,-3.353913,-13.989978,-1.107857,-4.371594,-6.380090,23.904068,6.165442
0.020000,-3.443064,-13.979429,-1.197630,-4.488629,-5.851734,26.417838,6.165653
0.020000,-3.534314,-13.968732,-1.289504,-4.593732,-5.255168,29.828269,6.167630
0.020000,-3.627410,-13.958098,-1.383206,-4.685081,-4.567435,34.386651,6.171629
0.020000,-3.722054,-13.947780,-1.478411,-4.760262,-3.759056,40.418964,6.177949
0.020000,-3.817688,-13.938090,-1.574534,-4.806150,-2.294408,73.232409,6.186930
0.020000,-3.913498,-13.929393,-1.670739,-4.810219,-0.203422,104.549314,6.198936
0.020000,-4.008619,-13.922069,-1.766140,-4.770094,2.006237,110.482943,6.214375
0.020000,-4.102109,-13.916497,-1.859796,-4.682794,4.364978,117.937041,6.233712
0.020000,-4.192938,-13.913039,-1.950692,-4.544780,6.900742,126.788197,6.257477
0.020000,-4.279975,-13.912005,-2.037734,-4.352127,9.632627,136.594253,0.003086
0.020000,-4.361978,-13.913615,-2.119753,-4.100943,12.559212,146.329237,0.037587
0.020000,-4.437617,-13.917944,-2.195517,-3.788172,15.638564,153.967623,0.078525
0.020000,-4.505527,-13.924860,-2.263777,-3.413034,18.756894,155.916502,0.126649
0.020000,-4.564515,-13.933974,-2.323466,-2.984421,21.430619,133.686256,0.182745
0.020000,-4.613665,-13.944623,-2.373756,-2.514492,23.496454,103.291729,0.247584
0.020000,-4.652438,-13.955869,-2.414127,-2.018560,24.796618,65.008210,0.321649
0.020000,-4.681015,-13.966637,-2.444665,-1.526925,24.581741,-10.743866,0.404861
0.020000,-4.700610,-13.976034,-2.466397,-1.086582,22.017159,-128.229107,0.496266
0.020000,-4.713558,-13.983828,-2.481510,-0.755631,16.547566,-273.479627,0.593830
0.020000,-4.722965,-13.990876,-2.493265,-0.587746,8.394243,-407.666173,0.694519
0.020000,-4.731944,-13.999182,-2.505496,-0.611569,-1.191144,-479.269330,0.794764
0.020000,-4.742784,-14.011428,-2.521850,-0.817718,-10.307473,-455.816475,0.891172
0.020000,-4.756519,-14.030208,-2.545117,-1.163346,-17.281388,-348.695735,0.981149
0.020000,-4.773038,-14.057394,-2.576928,-1.590555,-21.360477,-203.954442,1.063177
0.020000,-4.791521,-14.093893,-2.617841,-2.045615,-22.752993,-69.625831,1.136739
