dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-2.250149,-11.925000,-0.000222,-0.022222,-1.111111,-55.555556,6.283174
0.020000,-2.250971,-11.925000,-0.001045,-0.041127,-0.945235,8.293803,6.283112
0.020000,-2.252822,-11.925000,-0.002895,-0.092527,-2.570005,-81.238490,6.282973
0.020000,-2.256111,-11.924999,-0.006185,-0.164463,-3.596808,-51.340167,6.282726
0.020000,-2.261249,-11.924995,-0.011323,-0.256899,-4.621767,-51.247937,6.282337
0.020000,-2.268644,-11.924987,-0.018718,-0.369772,-5.643690,-51.096131,6.281775
0.020000,-2.278704,-11.924969,-0.028778,-0.502994,-6.661063,-50.868690,6.281004
0.020000,-2.291833,-11.924934,-0.041907,-0.656434,-7.672030,-50.548334,6.279986
0.020000,-2.308431,-11.924870,-0.058505,-0.829921,-8.674352,-50.116110,6.278683
0.020000,-2.328691,-11.924762,-0.078765,-1.013004,-9.154123,-23.988544,6.277064
0.020000,-2.352596,-11.924593,-0.102670,-1.195259,-9.112742,2.069058,6.275115
0.020000,-2.380125,-11.924339,-0.130201,-1.376515,-9.062847,2.494760,6.272818
0.020000,-2.411255,-11.923975,-0.161332,-1.556593,-9.003896,2.947529,6.270150
0.020000,-2.445957,-11.923470,-0.196038,-1.735298,-8.935229,3.433365,6.267086
0.020000,-2.484199,-11.922787,-0.234287,-1.912419,-8.856044,3.959231,6.263596
0.020000,-2.525944,-11.921888,-0.276041,-2.087726,-8.765382,4.533108,6.259647
0.020000,-2.571148,-11.920723,-0.321261,-2.260968,-8.662095,5.164367,6.255200
0.020000,-2.619763,-11.919242,-0.369898,-2.431865,-8.544818,5.863829,6.250211
0.020000,-2.671732,-11.917384,-0.421900,-2.600103,-8.411932,6.644290,6.244632
0.020000,-2.726991,-11.915081,-0.477207,-2.765334,-8.261519,7.520657,6.238405
0.020000,-2.785466,-11.912260,-0.535750,-2.927160,-8.091310,8.510440,6.231469
