dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-2.250173,-14.075000,-0.000222,-0.022222,-1.111111,-55.555556,6.283174
0.020000,-2.251128,-14.075000,-0.001177,-0.047762,-1.276987,-8.293799,6.283112
0.020000,-2.253277,-14.075000,-0.003327,-0.107473,-2.985551,-85.428191,6.282973
0.020000,-2.257099,-14.074998,-0.007149,-0.191092,-4.180969,-59.770929,6.282726
0.020000,-2.263072,-14.074994,-0.013122,-0.298657,-5.378233,-59.863172,6.282337
0.020000,-2.271677,-14.074985,-0.021726,-0.430228,-6.578532,-60.014969,6.281775
0.020000,-2.283395,-14.074964,-0.033444,-0.585895,-7.783380,-60.242410,6.281004
0.020000,-2.298711,-14.074923,-0.048760,-0.765788,-8.994635,-60.562713,6.279986
0.020000,-2.318112,-14.074848,-0.068162,-0.970079,-10.214534,-60.994940,6.278683
0.020000,-2.341852,-14.074722,-0.091902,-1.186996,-10.845871,-31.566879,6.277064
0.020000,-2.369946,-14.074523,-0.119996,-1.404741,-10.887250,-2.068921,6.275115
0.020000,-2.402414,-14.074223,-0.152466,-1.623484,-10.937141,-2.494574,6.272818
0.020000,-2.439280,-14.073792,-0.189334,-1.843406,-10.996086,-2.947264,6.270150
0.020000,-2.480569,-14.073191,-0.230628,-2.064701,-11.064747,-3.433048,6.267086
0.020000,-2.526313,-14.072375,-0.276380,-2.287579,-11.143923,-3.958808,6.263596
0.020000,-2.576547,-14.071292,-0.326625,-2.512271,-11.234575,-4.532594,6.259647
0.020000,-2.631310,-14.069882,-0.381406,-2.739027,-11.337849,-5.163664,6.255200
0.020000,-2.690645,-14.068073,-0.440768,-2.968130,-11.455108,-5.862970,6.250211
0.020000,-2.754602,-14.065786,-0.504766,-3.199889,-11.587971,-6.643176,6.244632
0.020000,-2.823235,-14.062926,-0.573459,-3.434656,-11.738356,-7.519234,6.238405
0.020000,-2.896606,-14.059385,-0.646916,-3.672827,-11.908529,-8.508627,6.231469
0.020000,-2.974783,-14.055038,-0.725213,-3.914850,-12.101165,-9.631824,6.223751
0.020000,-3.057839,-14.049741,-0.808438,-4.161238,-12.319419,-10.912709,6.215169
0.020000,-3.145857,-14.043327,-0.896689,-4.412578,-12.567000,-12.379037,6.205633
