dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-2.250105,-4.575000,-0.000222,-0.022222,-1.111111,-55.555556,0.000000
0.020000,-2.250994,-4.575000,-0.001111,-0.044444,-1.111111,-0.000000,0.000000
0.020000,-2.252994,-4.575000,-0.003111,-0.100000,-2.777778,-83.333333,0.000000
0.020000,-2.256549,-4.575000,-0.006667,-0.177778,-3.888889,-55.555556,0.000000
0.020000,-2.262105,-4.575000,-0.012222,-0.277778,-5.000000,-55.555556,0.000000
0.020000,-2.270105,-4.575000,-0.020222,-0.400000,-6.111111,-55.555556,0.000000
0.020000,-2.280994,-4.575000,-0.031111,-0.544444,-7.222222,-55.555556,0.000000
0.020000,-2.295216,-4.575000,-0.045333,-0.711111,-8.333333,-55.555556,0.000000
0.020000,-2.313216,-4.575000,-0.063333,-0.900000,-9.444444,-55.555556,0.000000
0.020000,-2.335216,-4.575000,-0.085333,-1.100000,-10.000000,-27.777778,0.000000
0.020000,-2.361216,-4.575000,-0.111333,-1.300000,-10.000000,0.000000,0.000000
0.020000,-2.391216,-4.575000,-0.141333,-1.500000,-10.000000,-0.000000,0.000000
0.020000,-2.425216,-4.575000,-0.175333,-1.700000,-10.000000,0.000000,0.000000
0.020000,-2.463216,-4.575000,-0.213333,-1.900000,-10.000000,-0.000000,0.000000
0.020000,-2.505216,-4.575000,-0.255333,-2.100000,-10.000000,0.000000,0.000000
0.020000,-2.551216,-4.575000,-0.301333,-2.300000,-10.000000,-0.000000,0.000000
0.020000,-2.601216,-4.575000,-0.351333,-2.500000,-10.000000,0.000000,0.000000
0.020000,-2.655216,-4.575000,-0.405333,-2.700000,-10.000000,0.000000,0.000000
0.020000,-2.713216,-4.575000,-0.463333,-2.900000,-10.000000,-0.000000,0.000000
0.020000,-2.775216,-4.575000,-0.525333,-3.100000,-10.000000,-0.000000,0.000000
0.020000,-2.841216,-4.575000,-0.591333,-3.300000,-10.000000,-0.000000,0.000000
0.020000,-2.911216,-4.575000,-0.661333,-3.500000,-10.000000,0.000000,0.000000
0.020000,-2.985216,-4.575000,-0.735333,-3.700000,-10.000000,-0.000000,0.000000
0.020000,-3.063216,-4.575000,-0.813333,-3.900000,-10.000000,-0.000000,0.000000
0.020000,-3.145216,-4.575000,-0.895333,-4.100000,-10.000000,0.000000,0.000000
0.020000,-3.231216,-4.575000,-0.981333,-4.300000,-10.000000,-0.000000,0.000000
0.020000,-3.321216,-4.575000,-1.071333,-4.500000,-10.000000,0.000000,0.000000
0.020000,-3.415216,-4.575000,-1.165333,-4.700000,-10.000000,-0.000000,0.000000
0.020000,-3.513216,-4.575000,-1.263333,-4.900000,-10.000000,0.000000,0.000000
0.020000,-3.615216,-4.575000,-1.365333,-5.100000,-10.000000,-0.000000,0.000000
0.020000,-3.721216,-4.575000,-1.471333,-5.300000,-10.000000,0.000000,0.000000
0.020000,-3.831216,-4.575000,-1.581333,-5.500000,-10.000000,0.000000,0.000000
0.020000,-3.945216,-4.575000,-1.695333,-5.700000,-10.000000,-0.000000,0.000000
0.020000,-4.063216,-4.575000,-1.813333,-5.900000,-10.000000,-0.000000,0.000000
0.020000,-4.185216,-4.575000,-1.935333,-6.100000,-10.000000,-0.000000,0.000000
0.020000,-4.310994,-4.575000,-2.061111,-6.288889,-9.444444,27.777778,0.000000
0.020000,-4.440105,-4.575000,-2.190222,-6.455556,-8.333333,55.555556,0.000000
0.020000,-4.572105,-4.575000,-2.322222,-6.600000,-7.222222,55.555556,0.000000
0.020000,-4.706549,-4.575000,-2.456667,-6.722222,-6.111111,55.555556,0.000000
0.020000,-4.842994,-4.575000,-2.593111,-6.822222,-5.000000,55.555556,0.000000
0.020000,-4.980994,-4.575000,-2.731111,-6.900000,-3.888889,55.555556,0.000000
0.020000,-5.120105,-4.575000,-2.870222,-6.955556,-2.777778,55.555556,0.000000
0.020000,-5.259882,-4.575000,-3.010000,-6.988889,-1.666667,55.555556,0.000000
0.020000,-5.399882,-4.575000,-3.150000,-7.000000,-0.555556,55.555556,0.000000
