dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.925000,15.000151,0.000222,0.022222,1.111111,55.555556,1.570802
0.020000,8.925000,15.001006,0.001077,0.042751,1.026420,-4.234562,1.570833
0.020000,8.925000,15.002930,0.003001,0.096202,2.672569,82.307463,1.570904
0.020000,8.924999,15.006352,0.006423,0.171071,3.743429,53.542980,1.571029
0.020000,8.924997,15.011700,0.011771,0.267412,4.817095,53.683290,1.571222
0.020000,8.924993,15.019406,0.019477,0.385319,5.895344,53.912484,1.571495
0.020000,8.924984,15.029905,0.029976,0.524927,6.980384,54.252008,1.571858
0.020000,8.924966,15.043633,0.043704,0.686424,8.074836,54.722572,1.572317
0.020000,8.924935,15.061034,0.061106,0.870058,9.181716,55.343996,1.572874
0.020000,8.924884,15.082342,0.082413,1.065374,9.765799,29.204176,1.573519
0.020000,8.924806,15.107579,0.107650,1.261860,9.824302,2.925153,1.574228
0.020000,8.924695,15.136773,0.136845,1.459720,9.892972,3.433462,1.574977
0.020000,8.924543,15.169956,0.170028,1.659152,9.971647,3.933749,1.575737
0.020000,8.924345,15.207162,0.207235,1.860356,10.060199,4.427612,1.576475
0.020000,8.924096,15.248432,0.248505,2.063528,10.158555,4.917807,1.577154
0.020000,8.923794,15.293808,0.293883,2.268862,10.266723,5.408418,1.577733
0.020000,8.923439,15.343338,0.343414,2.476558,10.384823,5.904966,1.578169
0.020000,8.923035,15.397073,0.397150,2.686821,10.513115,6.414602,1.578414
0.020000,8.922592,15.455069,0.455147,2.899862,10.652040,6.946264,1.578417
0.020000,8.922124,15.517385,0.517465,3.115907,10.802258,7.510911,1.578121
0.020000,8.921656,15.584088,0.584170,3.335201,10.964694,8.121783,1.577466
0.020000,8.921217,15.655246,0.655330,3.558012,11.140589,8.794735,1.576387
0.020000,8.920851,15.730938,0.731023,3.784644,11.331562,9.548671,1.574812
0.020000,8.920611,15.811247,0.811331,4.015437,11.539683,10.406072,1.572664
0.020000,8.920568,15.896263,0.896347,4.250788,11.767557,11.393670,1.569859
0.020000,8.920806,15.985852,0.985937,4.479508,11.435962,-16.579738,1.566312
0.020000,8.921426,16.079651,1.079738,4.690014,10.525337,-45.531234,1.561950
0.020000,8.922540,16.177286,1.177380,4.882100,9.604277,-46.053018,1.556702
0.020000,8.924272,16.278382,1.278490,5.055524,8.671209,-46.653398,1.550501
0.020000,8.926755,16.382553,1.382690,5.210010,7.724275,-47.346693,1.543286
0.020000,8.930131,16.489404,1.489595,5.345232,6.761126,-48.157443,1.535002
0.020000,8.934543,16.598531,1.598811,5.460807,5.778721,-49.120244,1.525602
0.020000,8.940140,16.709515,1.709936,5.556269,4.773136,-50.279275,1.515045
0.020000,8.947066,16.821923,1.822558,5.631057,3.739390,-51.687280,1.503304
0.020000,8.955477,16.935557,1.936502,5.697220,3.308150,-21.562010,1.490332
0.020000,8.965558,17.050465,2.051851,5.767461,3.512035,10.194247,1.476053
0.020000,8.977511,17.166695,2.168695,5.842183,3.736132,11.204858,1.460383
0.020000,8.991558,17.284295,2.287131,5.921793,3.980491,12.217954,1.443232
0.020000,9.007943,17.403306,2.407264,6.006684,4.244515,13.201164,1.424501
0.020000,9.026935,17.523762,2.529209,6.097217,4.526664,14.107496,1.404086
0.020000,9.048831,17.645686,2.653083,6.193699,4.824085,14.871032,1.381875
0.020000,9.073954,17.769081,2.779010,6.296341,5.132134,15.402424,1.357755
0.020000,9.102657,17.893929,2.907114,6.405218,5.443814,15.584029,1.331608
0.020000,9.135322,18.020175,3.037518,6.520200,5.749146,15.266579,1.303321
0.020000,9.172359,18.147725,3.170336,6.640891,6.034506,14.268005,1.272788
0.020000,9.214196,18.276426,3.305666,6.766532,6.282062,12.377797,1.239916
0.020000,9.261277,18.406059,3.443585,6.895921,6.469451,9.369449,1.204637
0.020000,9.314045,18.536324,3.584131,7.027320,6.569960,5.025460,1.166911
0.020000,9.372923,18.666825,3.727299,7.158390,6.553510,-0.822486,1.126746
0.020000,9.438293,18.797063,3.873022,7.286165,6.388760,-8.237506,1.084203
0.020000,9.510466,18.926435,4.021164,7.407096,6.046539,-17.111074,1.039408
0.020000,9.589651,19.054235,4.171508,7.517187,5.504541,-27.099898,0.992564
0.020000,9.675923,19.179677,4.323753,7.612242,4.752756,-37.589221,0.943950
0.020000,9.769198,19.301919,4.477517,7.688213,3.798554,-47.710127,0.893922
0.020000,9.869221,19.420108,4.632349,7.741611,2.669915,-56.431924,0.842900
0.020000,9.975562,19.533423,4.787748,7.769918,1.415338,-62.728846,0.791350
0.020000,10.087633,19.641131,4.943186,7.771910,0.099580,-65.787906,0.739764
0.020000,10.204725,19.742624,5.098142,7.747823,-1.204347,-65.196344,0.688626
0.020000,10.326047,19.837455,5.252129,7.699319,-2.425212,-61.043287,0.638391
0.020000,10.450776,19.925346,5.404714,7.629256,-3.503133,-53.896029,0.589460
0.020000,10.578105,20.006192,5.555540,7.541329,-4.396368,-44.661749,0.542167
0.020000,10.707278,20.080041,5.704333,7.439647,-5.084059,-34.384564,0.496766
0.020000,10.837620,20.147069,5.850900,7.328347,-5.565015,-24.047782,0.453437
0.020000,10.968510,20.207533,5.995081,7.209031,-5.965827,-20.040592,0.412300
0.020000,11.099135,20.261650,6.136472,7.069574,-6.972841,-50.350704,0.373494
0.020000,11.228535,20.309647,6.274487,6.900725,-8.442458,-73.480854,0.337152
0.020000,11.355852,20.351855,6.408618,6.706573,-9.707605,-63.257344,0.303331
0.020000,11.480329,20.388671,6.538425,6.490355,-10.810896,-55.164577,0.272028
0.020000,11.601294,20.420527,6.663515,6.254470,-11.794218,-49.166062,0.243197
0.020000,11.718149,20.447873,6.783526,6.000568,-12.695107,-45.044495,0.216757
0.020000,11.830352,20.471155,6.898119,5.729667,-13.545054,-42.497323,0.192612
0.020000,11.937409,20.490808,7.006965,5.442284,-14.369142,-41.204390,0.170656
0.020000,12.038895,20.507253,7.109776,5.140523,-15.088072,-35.946499,0.150770
0.020000,12.134685,20.520920,7.206535,4.837973,-15.127470,-1.969934,0.132793
0.020000,12.224890,20.532219,7.297445,4.545506,-14.623346,25.206202,0.116536
0.020000,12.309620,20.541504,7.382683,4.261872,-14.181735,22.080589,0.101836
0.020000,12.388979,20.549078,7.462402,3.985957,-13.795761,19.298702,0.088548
0.020000,12.463061,20.555205,7.536737,3.716778,-13.458929,16.841572,0.076548
0.020000,12.531956,20.560113,7.605807,3.453472,-13.165306,14.681145,0.065725
0.020000,12.595743,20.563998,7.669712,3.195280,-12.909599,12.785370,0.055985
0.020000,12.654496,20.567032,7.728543,2.941537,-12.687167,11.121591,0.047245
0.020000,12.708278,20.569364,7.782376,2.691657,-12.493979,9.659415,0.039433
0.020000,12.757149,20.571121,7.831279,2.445126,-12.326559,8.370997,0.032487
0.020000,12.801160,20.572416,7.875308,2.201487,-12.181941,7.230870,0.026352
