dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.075000,15.000163,0.000222,0.022222,1.111111,55.555556,1.570802
0.020000,11.075000,15.001086,0.001145,0.046138,1.195802,4.234564,1.570833
0.020000,11.075000,15.003162,0.003221,0.103798,2.882986,84.359199,1.570904
0.020000,11.074999,15.006852,0.006911,0.184485,4.034349,57.568132,1.571029
0.020000,11.074997,15.012615,0.012674,0.288143,5.182906,57.427825,1.571222
0.020000,11.074993,15.020908,0.020967,0.414681,6.326878,57.198616,1.571495
0.020000,11.074983,15.032187,0.032246,0.563962,7.464060,56.859100,1.571858
0.020000,11.074964,15.046903,0.046962,0.735798,8.591831,56.388539,1.572317
0.020000,11.074930,15.065502,0.065561,0.929942,9.707173,55.767097,1.572874
0.020000,11.074876,15.088195,0.088254,1.134626,10.234200,26.351375,1.573519
0.020000,11.074793,15.114957,0.115016,1.338140,10.175697,-2.925158,1.574228
0.020000,11.074676,15.145763,0.145822,1.540280,10.107028,-3.433461,1.574977
0.020000,11.074517,15.180579,0.180639,1.740847,10.028353,-3.933740,1.575737
0.020000,11.074310,15.219372,0.219432,1.939643,9.939801,-4.427590,1.576475
0.020000,11.074053,15.262100,0.262161,2.136472,9.841445,-4.917785,1.577154
0.020000,11.073742,15.308722,0.308784,2.331138,9.733278,-5.408389,1.577733
0.020000,11.073380,15.359189,0.359253,2.523442,9.615179,-5.904946,1.578169
0.020000,11.072972,15.413452,0.413517,2.713179,9.486887,-6.414598,1.578414
0.020000,11.072529,15.471453,0.471519,2.900138,9.347961,-6.946296,1.578417
0.020000,11.072067,15.533133,0.533201,3.084093,9.197741,-7.511002,1.578121
0.020000,11.071608,15.598427,0.598497,3.264799,9.035301,-8.121964,1.577466
0.020000,11.071184,15.667266,0.667337,3.441987,8.859400,-8.795053,1.576387
0.020000,11.070834,15.739572,0.739644,3.615356,8.668417,-9.549179,1.574812
0.020000,11.070608,15.815263,0.815335,3.784561,8.460280,-10.406842,1.572664
0.020000,11.070567,15.894247,0.894319,3.949209,8.232384,-11.394814,1.569859
0.020000,11.070785,15.976212,0.976285,4.098266,7.452837,-38.977356,1.566312
0.020000,11.071342,16.060632,1.060707,4.221090,6.141201,-65.581786,1.561950
0.020000,11.072327,16.146984,1.147064,4.317890,4.839993,-65.060405,1.556702
0.020000,11.073829,16.234749,1.234842,4.388905,3.550784,-64.460412,1.550501
0.020000,11.075942,16.323412,1.323531,4.434414,2.275436,-63.767442,1.543286
0.020000,11.078753,16.412463,1.412625,4.454740,1.016297,-62.956956,1.535002
0.020000,11.082348,16.501396,1.501631,4.450268,-0.223590,-61.994307,1.525602
0.020000,11.086800,16.589713,1.590060,4.421462,-1.440294,-60.835237,1.515045
0.020000,11.092171,16.676925,1.677438,4.368885,-2.628835,-59.427012,1.503304
0.020000,11.098521,16.762745,1.763492,4.302710,-3.308784,-33.997468,1.490332
0.020000,11.105916,16.847070,1.848141,4.232454,-3.512777,-10.199651,1.476053
0.020000,11.114419,16.929789,1.931295,4.157714,-3.737000,-11.211137,1.460383
0.020000,11.124088,17.010775,2.012857,4.078084,-3.981504,-12.225216,1.443232
0.020000,11.134976,17.089893,2.092720,3.993170,-4.245695,-13.209560,1.424501
0.020000,11.147127,17.166993,2.170773,3.902610,-4.528038,-14.117140,1.404086
0.020000,11.160577,17.241918,2.246895,3.806096,-4.825680,-14.882079,1.381875
0.020000,11.175347,17.314498,2.320963,3.703416,-5.133977,-15.414875,1.357755
0.020000,11.191447,17.384562,2.392853,3.594498,-5.445936,-15.597940,1.331608
0.020000,11.208871,17.451935,2.462442,3.479466,-5.751572,-15.281811,1.303321
0.020000,11.227593,17.516448,2.529617,3.358721,-6.037258,-14.284313,1.272788
0.020000,11.247573,17.577944,2.594277,3.233018,-6.285151,-12.394620,1.239916
0.020000,11.268752,17.636290,2.656348,3.103561,-6.472870,-9.385977,1.204637
0.020000,11.291058,17.691388,2.715790,2.972087,-6.573680,-5.040504,1.166911
0.020000,11.314414,17.743184,2.772609,2.840938,-6.557470,0.810504,1.126746
0.020000,11.338744,17.791685,2.826870,2.713080,-6.392860,8.230512,1.084203
0.020000,11.363991,17.836964,2.878712,2.592068,-6.050637,17.111159,1.039408
0.020000,11.390125,17.879165,2.928350,2.481899,-5.508456,27.109044,0.992564
0.020000,11.417168,17.918501,2.976085,2.386773,-4.756278,37.608883,0.943950
0.020000,11.445197,17.955246,3.022300,2.310744,-3.801463,47.740765,0.893922
0.020000,11.474358,17.989711,3.067446,2.257304,-2.672010,56.472632,0.842900
0.020000,11.504863,18.022219,3.112025,2.228974,-1.416466,62.777241,0.791350
0.020000,11.536977,18.053081,3.156565,2.226981,-0.099660,65.840290,0.739764
0.020000,11.571000,18.082566,3.201587,2.251087,1.205308,65.248393,0.688626
0.020000,11.607241,18.110885,3.247579,2.299630,2.427121,61.090670,0.638391
0.020000,11.645988,18.138178,3.294974,2.369746,3.505831,53.935472,0.589460
0.020000,11.687490,18.164518,3.344129,2.457739,4.399653,44.691083,0.542167
0.020000,11.731935,18.189915,3.395319,2.559494,5.087717,34.403214,0.496766
0.020000,11.779445,18.214333,3.448736,2.670871,5.568847,24.056506,0.453437
0.020000,11.830054,18.237699,3.504479,2.787128,5.812850,12.200136,0.412300
0.020000,11.883608,18.259875,3.562442,2.898168,5.552005,-13.042221,0.373494
0.020000,11.939756,18.280691,3.622325,2.994157,4.799477,-37.626392,0.337152
0.020000,11.998059,18.300010,3.683746,3.071003,3.842281,-47.859817,0.303331
0.020000,12.058004,18.317731,3.746255,3.125465,2.723095,-55.959284,0.272028
0.020000,12.119028,18.333795,3.809358,3.155142,1.483857,-61.961946,0.243197
0.020000,12.180535,18.348182,3.872525,3.158385,0.162148,-66.085417,0.216757
0.020000,12.241912,18.360913,3.935209,3.134175,-1.210512,-68.633016,0.192612
0.020000,12.302540,18.372039,3.996849,3.081994,-2.609015,-69.925132,0.170656
0.020000,12.361824,18.381643,4.056906,3.002878,-3.955812,-67.339883,0.150770
0.020000,12.419351,18.389849,4.115015,2.905457,-4.871035,-45.761143,0.132793
0.020000,12.474876,18.396802,4.170974,2.797948,-5.375482,-25.222340,0.116536
0.020000,12.528189,18.402643,4.224606,2.681601,-5.817349,-22.093366,0.101836
0.020000,12.579109,18.407502,4.275757,2.557530,-6.203519,-19.308500,0.088548
0.020000,12.627478,18.411501,4.324291,2.426720,-6.540507,-16.849390,0.076548
0.020000,12.673163,18.414755,4.370092,2.290035,-6.834254,-14.687327,0.065725
0.020000,12.716048,18.417366,4.413057,2.148234,-7.090055,-12.790050,0.055985
0.020000,12.756035,18.419431,4.453096,2.001983,-7.312563,-11.125400,0.047245
0.020000,12.793037,18.421035,4.490134,1.851866,-7.505814,-9.662552,0.039433
0.020000,12.826983,18.422256,4.524102,1.698401,-7.673280,-8.373307,0.032487
0.020000,12.857811,18.423162,4.554943,1.542042,-7.817935,-7.232734,0.026352
0.020000,12.885467,18.423817,4.582607,1.383196,-7.942304,-6.218491,0.020983
0.020000,12.909907,18.424273,4.607051,1.222226,-8.048522,-5.310865,0.016341
0.020000,12.931094,18.424577,4.628240,1.059458,-8.138377,-4.492740,0.012391
0.020000,12.948997,18.424769,4.646144,0.895191,-8.213360,-3.749165,0.009106
0.020000,12.963617,18.424883,4.660764,0.731011,-8.208984,0.218784,0.006458
