dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.000105,5.075000,0.000222,0.022222,1.111111,55.555556,0.000018
0.020000,4.000853,5.075000,0.000970,0.037406,0.759185,-17.596299,0.000149
0.020000,4.002536,5.075001,0.002653,0.084151,2.337237,78.902591,0.000444
0.020000,4.005527,5.075003,0.005645,0.149558,3.270360,46.656146,0.000969
0.020000,4.010199,5.075009,0.010316,0.233573,4.200746,46.519284,0.001792
0.020000,4.016921,5.075025,0.017038,0.336105,5.126618,46.293598,0.002980
0.020000,4.026061,5.075060,0.026178,0.457019,6.045695,45.953851,0.004607
0.020000,4.037983,5.075127,0.038101,0.596122,6.955138,45.472166,0.006746
0.020000,4.053046,5.075250,0.053164,0.753151,7.851473,44.816744,0.009478
0.020000,4.071415,5.075455,0.071534,0.918494,8.267157,20.784238,0.012855
0.020000,4.093064,5.075777,0.093185,1.082574,8.203981,-3.158840,0.016900
0.020000,4.117961,5.076256,0.118088,1.245114,8.127000,-3.849028,0.021642
0.020000,4.146069,5.076941,0.146204,1.405813,8.034955,-4.602266,0.027116
0.020000,4.177342,5.077887,0.177491,1.564340,7.926321,-5.431669,0.033360
0.020000,4.211725,5.079155,0.211897,1.720325,7.799259,-6.353101,0.040424
0.020000,4.249155,5.080817,0.249364,1.873356,7.651586,-7.383649,0.048361
0.020000,4.289558,5.082951,0.289824,2.022971,7.480717,-8.543489,0.057236
0.020000,4.332847,5.085645,0.333197,2.168643,7.283613,-9.855190,0.067122
0.020000,4.378921,5.088995,0.379392,2.309777,7.056722,-11.344520,0.078102
0.020000,4.427662,5.093105,0.428306,2.445696,6.795930,-13.039647,0.090275
0.020000,4.478933,5.098092,0.479818,2.575626,6.496494,-14.971777,0.103752
0.020000,4.532574,5.104078,0.533792,2.698686,6.153025,-17.173425,0.118659
0.020000,4.588399,5.111196,0.590070,2.813876,5.759496,-19.676470,0.135145
0.020000,4.646195,5.119586,0.648471,2.920063,5.309325,-22.508559,0.153375
0.020000,4.705711,5.129395,0.708791,3.015975,4.795597,-25.686375,0.173542
0.020000,4.766507,5.140742,0.770636,3.092281,3.815296,-49.015085,0.195804
0.020000,4.827964,5.153705,0.833446,3.140477,2.409833,-70.273114,0.220269
0.020000,4.889464,5.168330,0.896661,3.160745,1.013375,-69.822914,0.247044
0.020000,4.950395,5.184631,0.959734,3.153663,-0.354103,-68.373895,0.276224
0.020000,5.010163,5.202584,1.022140,3.120331,-1.666597,-65.624699,0.307885
0.020000,5.068212,5.222124,1.083390,3.062497,-2.891671,-61.253706,0.342068
0.020000,5.124039,5.243145,1.143044,2.982678,-3.990959,-54.964415,0.378770
0.020000,5.177215,5.265504,1.200729,2.884236,-4.922119,-46.557977,0.417923
0.020000,5.227403,5.289029,1.256156,2.771381,-5.642738,-36.030961,0.459382
0.020000,5.274478,5.313588,1.309253,2.654825,-5.827791,-9.252672,0.503009
0.020000,5.318502,5.339118,1.360144,2.544556,-5.513465,15.716336,0.548688
0.020000,5.359605,5.365590,1.409033,2.444478,-5.003893,25.478592,0.596228
0.020000,5.397985,5.393021,1.456208,2.358748,-4.286495,35.869885,0.645363
0.020000,5.433896,5.421493,1.502037,2.291448,-3.365014,46.074033,0.695750
0.020000,5.467633,5.451157,1.546961,2.246183,-2.263261,55.087690,0.746979
0.020000,5.499504,5.482232,1.591474,2.225666,-1.025827,61.871669,0.798590
0.020000,5.529805,5.514996,1.636102,2.231371,0.285249,65.553803,0.850095
0.020000,5.558797,5.549760,1.681368,2.263327,1.597786,65.626842,0.901005
0.020000,5.586680,5.586850,1.727771,2.320112,2.839259,62.073660,0.950859
0.020000,5.613592,5.626573,1.775752,2.399046,3.946711,55.372585,0.999245
0.020000,5.639602,5.669194,1.825682,2.496533,4.874316,46.380288,1.045817
0.020000,5.664723,5.714917,1.877852,2.608474,5.597054,36.136861,1.090306
0.020000,5.688921,5.763878,1.932465,2.730679,6.110257,25.660182,1.132522
0.020000,5.712134,5.816138,1.989649,2.859199,6.426021,15.788185,1.172348
0.020000,5.734287,5.871695,2.049460,2.990559,6.567972,7.097564,1.209729
0.020000,5.755301,5.930490,2.111898,3.121876,6.565885,-0.104358,1.244668
0.020000,5.775108,5.992418,2.176916,3.250899,6.451137,-5.737388,1.277207
0.020000,5.793651,6.057341,2.244435,3.375968,6.253465,-9.883632,1.307419
0.020000,5.810890,6.125102,2.314354,3.495949,5.999030,-12.721725,1.335399
0.020000,5.826804,6.195529,2.386557,3.610141,5.709573,-14.472834,1.361255
0.020000,5.841388,6.268448,2.460921,3.718187,5.402320,-15.362690,1.385101
0.020000,5.854654,6.343688,2.537321,3.819994,5.090348,-15.598581,1.407054
0.020000,5.866625,6.421080,2.615634,3.915658,4.783183,-15.358252,1.427226
0.020000,5.877340,6.500469,2.695742,4.005407,4.487453,-14.786488,1.445729
0.020000,5.886842,6.581706,2.777533,4.089557,4.207518,-13.996780,1.462667
0.020000,5.895186,6.664657,2.860903,4.168477,3.946019,-13.074929,1.478136
0.020000,5.902431,6.749199,2.945754,4.242564,3.704340,-12.083967,1.492227
0.020000,5.908639,6.835219,3.031998,4.312223,3.482968,-11.068602,1.505023
0.020000,5.913877,6.922592,3.119528,4.376479,3.212780,-13.509406,1.516593
0.020000,5.918204,7.011000,3.208042,4.425716,2.461860,-37.545993,1.526983
0.020000,5.921684,7.099954,3.297064,4.451099,1.269143,-59.635832,1.536223
0.020000,5.924392,7.188955,3.386106,4.452080,0.049023,-61.005986,1.544352
0.020000,5.926413,7.277496,3.474670,4.428206,-1.193674,-62.134848,1.551420
0.020000,5.927838,7.365066,3.562252,4.379103,-2.455154,-63.074038,1.557484
0.020000,5.928758,7.451150,3.648341,4.304453,-3.732484,-63.866456,1.562604
0.020000,5.929264,7.535229,3.732421,4.203986,-5.023390,-64.545328,1.566847
0.020000,5.929441,7.616778,3.813970,4.077464,-6.326065,-65.133747,1.570286
0.020000,5.929371,7.695302,3.892494,3.926200,-7.563227,-61.858079,1.572995
0.020000,5.929125,7.770519,3.967712,3.760891,-8.265429,-35.110116,1.575059
0.020000,5.928762,7.842340,4.039534,3.591083,-8.490391,-11.248097,1.576562
0.020000,5.928331,7.910682,4.107877,3.417164,-8.695990,-10.279981,1.577579
0.020000,5.927870,7.975470,4.172666,3.239468,-8.884754,-9.438155,1.578181
0.020000,5.927409,8.036634,4.233832,3.058295,-9.058684,-8.696498,1.578433
0.020000,5.926970,8.094110,4.291310,2.873908,-9.219344,-8.033044,1.578394
0.020000,5.926568,8.147840,4.345041,2.686549,-9.367931,-7.429336,1.578120
0.020000,5.926213,8.197767,4.394970,2.496443,-9.505329,-6.869895,1.577662
0.020000,5.925910,8.243842,4.441046,2.303799,-9.632165,-6.341810,1.577068
0.020000,5.925659,8.286018,4.483223,2.108822,-9.748854,-5.834415,1.576379
0.020000,5.925460,8.324252,4.521457,1.911710,-9.855634,-5.339025,1.575638
0.020000,5.925307,8.358504,4.555710,1.712657,-9.952609,-4.848728,1.574878
0.020000,5.925194,8.388741,4.585947,1.511862,-10.039773,-4.358203,1.574133
0.020000,5.925116,8.414932,4.612138,1.309521,-10.117044,-3.863568,1.573432
0.020000,5.925065,8.437048,4.634254,1.105835,-10.184288,-3.362219,1.572799
0.020000,5.925033,8.455101,4.652307,0.902627,-10.160420,1.193410,1.572256
0.020000,5.925016,8.469333,4.666539,0.711616,-9.550544,30.493810,1.571810
0.020000,5.925007,8.480192,4.677398,0.542949,-8.433343,55.860074,1.571459
0.020000,5.925002,8.488130,4.685335,0.396866,-7.304151,56.459572,1.571197
0.020000,5.925001,8.493600,4.690806,0.273548,-6.165932,56.910964,1.571014
0.020000,5.925000,8.497063,4.694269,0.173123,-5.021248,57.234185,1.570896
0.020000,5.925000,8.498976,4.696182,0.095678,-3.872246,57.450084,1.570831
0.020000,5.925000,8.499802,4.697008,0.041265,-2.720643,57.580163,1.570803
0.020000,5.925000,8.500000,4.697206,0.009911,-1.567716,57.646381,1.570796
0.020000,5.925000,8.500000,4.697206,0.000000,-0.495525,53.609514,1.570796
