dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.000144,2.925000,0.000222,0.022222,1.111111,55.555556,0.000018
0.020000,4.001174,2.925000,0.001252,0.051483,1.463037,17.596308,0.000149
0.020000,4.003491,2.925001,0.003569,0.115849,3.218317,87.764010,0.000444
0.020000,4.007611,2.925004,0.007689,0.205998,4.507419,64.455100,0.000969
0.020000,4.014051,2.925013,0.014128,0.321983,5.799253,64.591676,0.001792
0.020000,4.023329,2.925035,0.023406,0.463895,7.095602,64.817470,0.002980
0.020000,4.035966,2.925083,0.036044,0.631870,8.398747,65.157237,0.004607
0.020000,4.052488,2.925176,0.052566,0.826100,9.711521,65.638711,0.006746
0.020000,4.073424,2.925346,0.073503,1.046848,11.037401,66.293982,0.009478
0.020000,4.099052,2.925632,0.099133,1.281505,11.732819,34.770914,0.012855
0.020000,4.129398,2.926084,0.129481,1.517424,11.795982,3.158118,0.016900
0.020000,4.164489,2.926760,0.164579,1.754883,11.872949,3.848376,0.021642
0.020000,4.204360,2.927732,0.204463,1.994183,11.964972,4.601141,0.027116
0.020000,4.249053,2.929083,0.249176,2.235654,12.073584,5.430595,0.033360
0.020000,4.298613,2.930912,0.298769,2.479667,12.200612,6.351414,0.040424
0.020000,4.353092,2.933331,0.353302,2.726631,12.348246,7.381685,0.048361
0.020000,4.412549,2.936472,0.412842,2.977013,12.519066,8.541013,0.057236
0.020000,4.477051,2.940486,0.477469,3.231335,12.716110,9.852188,0.067122
0.020000,4.546671,2.945549,0.547273,3.490193,12.942919,11.340461,0.078102
0.020000,4.621491,2.951860,0.622358,3.754266,13.203613,13.034697,0.090275
0.020000,4.701599,2.959653,0.702844,4.024324,13.502923,14.965517,0.103752
0.020000,4.787093,2.969196,0.788869,4.301249,13.846231,17.165357,0.118659
0.020000,4.878077,2.980800,0.880590,4.586040,14.239555,19.666219,0.135145
0.020000,4.974660,2.994825,0.978187,4.879829,14.689465,22.495503,0.153375
0.020000,5.076957,3.011689,1.081864,5.183886,15.202855,25.669514,0.173542
0.020000,5.184800,3.031825,1.191571,5.485320,15.071685,-6.558494,0.195804
0.020000,5.297722,3.055652,1.306979,5.770411,14.254578,-40.855367,0.220269
0.020000,5.415222,3.083605,1.427759,6.038980,13.428440,-41.306910,0.247044
0.020000,5.536753,3.116133,1.553568,6.290447,12.573312,-42.756370,0.276224
0.020000,5.661707,3.153684,1.684042,6.523711,11.663210,-45.505103,0.307885
0.020000,5.789400,3.196689,1.818782,6.737025,10.665732,-49.873936,0.342068
0.020000,5.919062,3.245537,1.957340,6.927877,9.542559,-56.158627,0.378770
