dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.075000,11.999837,0.000222,0.022222,1.111111,55.555556,4.712383
0.020000,11.075000,11.998914,0.001145,0.046138,1.195802,4.234564,4.712352
0.020000,11.075000,11.996838,0.003221,0.103798,2.882986,84.359199,4.712281
0.020000,11.074999,11.993148,0.006911,0.184485,4.034349,57.568132,4.712156
0.020000,11.074997,11.987385,0.012674,0.288143,5.182906,57.427825,4.711964
0.020000,11.074993,11.979092,0.020967,0.414681,6.326878,57.198616,4.711690
0.020000,11.074983,11.967813,0.032246,0.563962,7.464060,56.859100,4.711327
0.020000,11.074964,11.953097,0.046962,0.735798,8.591831,56.388539,4.710868
0.020000,11.074930,11.934498,0.065561,0.929942,9.707173,55.767097,4.710311
0.020000,11.074876,11.911805,0.088254,1.134626,10.234200,26.351375,4.709667
0.020000,11.074793,11.885043,0.115016,1.338140,10.175697,-2.925158,4.708957
0.020000,11.074676,11.854237,0.145822,1.540280,10.107028,-3.433461,4.708208
0.020000,11.074517,11.819421,0.180639,1.740847,10.028353,-3.933740,4.707448
0.020000,11.074310,11.780628,0.219432,1.939643,9.939801,-4.427590,4.706710
0.020000,11.074053,11.737900,0.262161,2.136472,9.841445,-4.917785,4.706032
0.020000,11.073742,11.691278,0.308784,2.331138,9.733278,-5.408389,4.705452
0.020000,11.073380,11.640811,0.359253,2.523442,9.615179,-5.904946,4.705016
0.020000,11.072972,11.586548,0.413517,2.713179,9.486887,-6.414598,4.704771
0.020000,11.072529,11.528547,0.471519,2.900138,9.347961,-6.946296,4.704769
0.020000,11.072067,11.466867,0.533201,3.084093,9.197741,-7.511002,4.705064
0.020000,11.071608,11.401573,0.598497,3.264799,9.035301,-8.121964,4.705719
0.020000,11.071184,11.332734,0.667337,3.441987,8.859400,-8.795053,4.706799
0.020000,11.070834,11.260428,0.739644,3.615356,8.668417,-9.549179,4.708373
0.020000,11.070608,11.184737,0.815335,3.784561,8.460280,-10.406842,4.710521
0.020000,11.070567,11.105753,0.894319,3.949209,8.232384,-11.394814,4.713327
0.020000,11.070785,11.023788,0.976285,4.098266,7.452837,-38.977356,4.716873
0.020000,11.071342,10.939368,1.060707,4.221090,6.141201,-65.581786,4.721235
0.020000,11.072327,10.853016,1.147064,4.317890,4.839993,-65.060405,4.726484
0.020000,11.073829,10.765251,1.234842,4.388905,3.550784,-64.460412,4.732685
0.020000,11.075942,10.676588,1.323531,4.434414,2.275436,-63.767442,4.739900
0.020000,11.078753,10.587537,1.412625,4.454740,1.016297,-62.956956,4.748183
0.020000,11.082348,10.498604,1.501631,4.450268,-0.223590,-61.994307,4.757584
0.020000,11.086800,10.410287,1.590060,4.421462,-1.440294,-60.835237,4.768140
0.020000,11.092171,10.323075,1.677438,4.368885,-2.628835,-59.427012,4.779881
0.020000,11.098521,10.237255,1.763492,4.302710,-3.308784,-33.997468,4.792853
0.020000,11.105916,10.152930,1.848141,4.232454,-3.512777,-10.199651,4.807133
0.020000,11.114419,10.070211,1.931295,4.157714,-3.737000,-11.211137,4.822802
0.020000,11.124088,9.989225,2.012857,4.078084,-3.981504,-12.225216,4.839953
0.020000,11.134976,9.910107,2.092720,3.993170,-4.245695,-13.209560,4.858684
0.020000,11.147127,9.833007,2.170773,3.902610,-4.528038,-14.117140,4.879099
0.020000,11.160577,9.758082,2.246895,3.806096,-4.825680,-14.882079,4.901310
0.020000,11.175347,9.685502,2.320963,3.703416,-5.133977,-15.414875,4.925431
0.020000,11.191447,9.615438,2.392853,3.594498,-5.445936,-15.597940,4.951578
0.020000,11.208871,9.548065,2.462442,3.479466,-5.751572,-15.281811,4.979865
0.020000,11.227593,9.483552,2.529617,3.358721,-6.037258,-14.284313,5.010398
0.020000,11.247573,9.422056,2.594277,3.233018,-6.285151,-12.394620,5.043269
0.020000,11.268752,9.363710,2.656348,3.103561,-6.472870,-9.385977,5.078549
0.020000,11.291058,9.308612,2.715790,2.972087,-6.573680,-5.040504,5.116274
0.020000,11.314414,9.256816,2.772609,2.840938,-6.557470,0.810504,5.156439
0.020000,11.338744,9.208315,2.826870,2.713080,-6.392860,8.230512,5.198983
0.020000,11.363991,9.163036,2.878712,2.592068,-6.050637,17.111159,5.243777
0.020000,11.390125,9.120835,2.928350,2.481899,-5.508456,27.109044,5.290621
0.020000,11.417168,9.081499,2.976085,2.386773,-4.756278,37.608883,5.339235
0.020000,11.445197,9.044754,3.022300,2.310744,-3.801463,47.740765,5.389263
0.020000,11.474358,9.010289,3.067446,2.257304,-2.672010,56.472632,5.440286
0.020000,11.504863,8.977781,3.112025,2.228974,-1.416466,62.777241,5.491835
0.020000,11.536977,8.946919,3.156565,2.226981,-0.099660,65.840290,5.543422
0.020000,11.571000,8.917434,3.201587,2.251087,1.205308,65.248393,5.594560
0.020000,11.607241,8.889115,3.247579,2.299630,2.427121,61.090670,5.644795
0.020000,11.645988,8.861822,3.294974,2.369746,3.505831,53.935472,5.693725
0.020000,11.687490,8.835482,3.344129,2.457739,4.399653,44.691083,5.741019
0.020000,11.731935,8.810085,3.395319,2.559494,5.087717,34.403214,5.786419
0.020000,11.779445,8.785667,3.448736,2.670871,5.568847,24.056506,5.829748
0.020000,11.830054,8.762301,3.504479,2.787128,5.812850,12.200136,5.870885
0.020000,11.883608,8.740125,3.562442,2.898168,5.552005,-13.042221,5.909691
0.020000,11.939756,8.719309,3.622325,2.994157,4.799477,-37.626392,5.946033
0.020000,11.998059,8.699990,3.683746,3.071003,3.842281,-47.859817,5.979854
