dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.925000,11.999849,0.000222,0.022222,1.111111,55.555556,4.712383
0.020000,8.925000,11.998994,0.001077,0.042751,1.026420,-4.234562,4.712352
0.020000,8.925000,11.997070,0.003001,0.096202,2.672569,82.307463,4.712281
0.020000,8.924999,11.993648,0.006423,0.171071,3.743429,53.542980,4.712156
0.020000,8.924997,11.988300,0.011771,0.267412,4.817095,53.683290,4.711964
0.020000,8.924993,11.980594,0.019477,0.385319,5.895344,53.912484,4.711690
0.020000,8.924984,11.970095,0.029976,0.524927,6.980384,54.252008,4.711327
0.020000,8.924966,11.956367,0.043704,0.686424,8.074836,54.722572,4.710868
0.020000,8.924935,11.938966,0.061106,0.870058,9.181716,55.343996,4.710311
0.020000,8.924884,11.917658,0.082413,1.065374,9.765799,29.204176,4.709667
0.020000,8.924806,11.892421,0.107650,1.261860,9.824302,2.925153,4.708957
0.020000,8.924695,11.863227,0.136845,1.459720,9.892972,3.433462,4.708208
0.020000,8.924543,11.830044,0.170028,1.659152,9.971647,3.933749,4.707448
0.020000,8.924345,11.792838,0.207235,1.860356,10.060199,4.427612,4.706710
0.020000,8.924096,11.751568,0.248505,2.063528,10.158555,4.917807,4.706032
0.020000,8.923794,11.706192,0.293883,2.268862,10.266723,5.408418,4.705452
0.020000,8.923439,11.656662,0.343414,2.476558,10.384823,5.904966,4.705016
0.020000,8.923035,11.602927,0.397150,2.686821,10.513115,6.414602,4.704771
0.020000,8.922592,11.544931,0.455147,2.899862,10.652040,6.946264,4.704769
0.020000,8.922124,11.482615,0.517465,3.115907,10.802258,7.510911,4.705064
0.020000,8.921656,11.415912,0.584170,3.335201,10.964694,8.121783,4.705719
0.020000,8.921217,11.344754,0.655330,3.558012,11.140589,8.794735,4.706799
0.020000,8.920851,11.269062,0.731023,3.784644,11.331562,9.548671,4.708373
0.020000,8.920611,11.188753,0.811331,4.015437,11.539683,10.406072,4.710521
0.020000,8.920568,11.103737,0.896347,4.250788,11.767557,11.393670,4.713327
0.020000,8.920806,11.014148,0.985937,4.479508,11.435962,-16.579738,4.716873
0.020000,8.921426,10.920349,1.079738,4.690014,10.525337,-45.531234,4.721235
0.020000,8.922540,10.822714,1.177380,4.882100,9.604277,-46.053018,4.726484
0.020000,8.924272,10.721618,1.278490,5.055524,8.671209,-46.653398,4.732685
0.020000,8.926755,10.617447,1.382690,5.210010,7.724275,-47.346693,4.739900
0.020000,8.930131,10.510596,1.489595,5.345232,6.761126,-48.157443,4.748183
0.020000,8.934543,10.401469,1.598811,5.460807,5.778721,-49.120244,4.757584
0.020000,8.940140,10.290485,1.709936,5.556269,4.773136,-50.279275,4.768140
0.020000,8.947066,10.178077,1.822558,5.631057,3.739390,-51.687280,4.779881
0.020000,8.955477,10.064443,1.936502,5.697220,3.308150,-21.562010,4.792853
0.020000,8.965558,9.949535,2.051851,5.767461,3.512035,10.194247,4.807133
0.020000,8.977511,9.833305,2.168695,5.842183,3.736132,11.204858,4.822802
0.020000,8.991558,9.715705,2.287131,5.921793,3.980491,12.217954,4.839953
0.020000,9.007943,9.596694,2.407264,6.006684,4.244515,13.201164,4.858684
0.020000,9.026935,9.476238,2.529209,6.097217,4.526664,14.107496,4.879099
0.020000,9.048831,9.354314,2.653083,6.193699,4.824085,14.871032,4.901310
0.020000,9.073954,9.230919,2.779010,6.296341,5.132134,15.402424,4.925431
0.020000,9.102657,9.106071,2.907114,6.405218,5.443814,15.584029,4.951578
0.020000,9.135322,8.979825,3.037518,6.520200,5.749146,15.266579,4.979865
0.020000,9.172359,8.852275,3.170336,6.640891,6.034506,14.268005,5.010398
0.020000,9.214196,8.723574,3.305666,6.766532,6.282062,12.377797,5.043269
0.020000,9.261277,8.593941,3.443585,6.895921,6.469451,9.369449,5.078549
0.020000,9.314045,8.463676,3.584131,7.027320,6.569960,5.025460,5.116274
0.020000,9.372923,8.333175,3.727299,7.158390,6.553510,-0.822486,5.156439
0.020000,9.438293,8.202937,3.873022,7.286165,6.388760,-8.237506,5.198983
0.020000,9.510466,8.073565,4.021164,7.407096,6.046539,-17.111074,5.243777
0.020000,9.589651,7.945765,4.171508,7.517187,5.504541,-27.099898,5.290621
0.020000,9.675923,7.820323,4.323753,7.612242,4.752756,-37.589221,5.339235
0.020000,9.769198,7.698081,4.477517,7.688213,3.798554,-47.710127,5.389263
0.020000,9.869221,7.579892,4.632349,7.741611,2.669915,-56.431924,5.440286
0.020000,9.975562,7.466577,4.787748,7.769918,1.415338,-62.728846,5.491835
0.020000,10.087633,7.358869,4.943186,7.771910,0.099580,-65.787906,5.543422
0.020000,10.204725,7.257376,5.098142,7.747823,-1.204347,-65.196344,5.594560
0.020000,10.326047,7.162545,5.252129,7.699319,-2.425212,-61.043287,5.644795
0.020000,10.450776,7.074654,5.404714,7.629256,-3.503133,-53.896029,5.693725
0.020000,10.578105,6.993808,5.555540,7.541329,-4.396368,-44.661749,5.741019
0.020000,10.707278,6.919959,5.704333,7.439647,-5.084059,-34.384564,5.786419
